mass,ta,tb,ewl,rmr
22.9,0,43.92,2.5,1.51
23,0,44,2.5,1.52
23.1,0,44.08,2.5,1.52
23.2,0,44.15,2.5,1.53
23.3,0,44.23,2.5,1.53
23.4,0,44.31,2.51,1.54
23.5,0,44.39,2.51,1.54
23.6,0,44.46,2.51,1.55
23.7,0,44.54,2.51,1.55
23.8,0,44.62,2.51,1.56
23.9,0,44.7,2.51,1.56
24,0,44.78,2.51,1.57
24.1,0,44.86,2.51,1.57
24.2,0,44.94,2.51,1.58
24.3,0,45.02,2.51,1.58
24.4,0,45.1,2.51,1.59
24.5,0,45.18,2.52,1.59
24.6,0,45.26,2.52,1.6
24.7,0,45.35,2.52,1.6
24.8,0,45.43,2.52,1.61
24.9,0,45.51,2.52,1.61
25,0,45.59,2.52,1.62
25.1,0,45.68,2.52,1.62
25.2,0,45.76,2.52,1.63
25.3,0,45.84,2.52,1.63
25.4,0,45.93,2.52,1.64
25.5,0,46.01,2.53,1.64
25.6,0,46.1,2.53,1.64
25.7,0,46.18,2.53,1.65
25.8,0,46.27,2.53,1.65
25.9,0,46.35,2.53,1.66
26,0,46.44,2.53,1.66
26.1,0,46.52,2.53,1.67
26.2,0,46.61,2.53,1.67
26.3,0,46.7,2.53,1.68
26.4,0,46.78,2.53,1.68
26.5,0,46.87,2.54,1.69
26.6,0,46.96,2.54,1.69
26.7,0,47.05,2.54,1.69
26.8,0,47.14,2.54,1.7
26.9,0,47.23,2.54,1.7
27,0,47.32,2.54,1.71
27.1,0,47.41,2.54,1.71
27.2,0,47.5,2.54,1.72
27.3,0,47.59,2.54,1.72
27.4,0,47.68,2.55,1.72
27.5,0,47.77,2.55,1.73
27.6,0,47.86,2.55,1.73
27.7,0,47.95,2.55,1.74
27.8,0,48.04,2.55,1.74
27.9,0,48.13,2.55,1.75
28,0,48.23,2.55,1.75
28.1,0,48.32,2.55,1.75
28.2,0,48.41,2.55,1.76
28.3,0,48.51,2.55,1.76
28.4,0,48.6,2.56,1.77
28.5,0,48.7,2.56,1.77
28.6,0,48.79,2.56,1.77
28.7,0,48.88,2.56,1.78
28.8,0,48.98,2.56,1.78
28.9,0,49.08,2.56,1.78
29,0,49.17,2.56,1.79
29.1,0,49.27,2.56,1.79
29.2,0,49.36,2.56,1.8
29.3,0,49.46,2.57,1.8
29.4,0,49.56,2.57,1.8
29.5,0,49.66,2.57,1.81
29.6,0,49.75,2.57,1.81
29.7,0,49.85,2.57,1.81
29.8,0,49.95,2.57,1.82
29.9,0,50.05,2.57,1.82
30,0,50.15,2.57,1.82
30.1,0,50.25,2.57,1.83
30.2,0,50.35,2.57,1.83
30.3,0,50.45,2.58,1.83
30.4,0,50.55,2.58,1.84
30.5,0,50.65,2.58,1.84
30.6,0,50.75,2.58,1.84
30.7,0,50.85,2.58,1.85
30.8,0,50.96,2.58,1.85
30.9,0,51.06,2.58,1.85
31,0,51.16,2.58,1.86
31.1,0,51.26,2.58,1.86
31.2,0,51.37,2.59,1.86
31.3,0,51.47,2.59,1.86
31.4,0,51.57,2.59,1.87
31.5,0,51.68,2.59,1.87
31.6,0,51.78,2.59,1.87
31.7,0,51.89,2.59,1.88
31.8,0,51.99,2.59,1.88
31.9,0,52.1,2.59,1.88
32,0,52.2,2.59,1.88
22.9,0.1,43.88,2.49,1.51
23,0.1,43.95,2.5,1.51
23.1,0.1,44.03,2.5,1.52
23.2,0.1,44.1,2.5,1.52
23.3,0.1,44.18,2.5,1.53
23.4,0.1,44.26,2.5,1.53
23.5,0.1,44.34,2.5,1.54
23.6,0.1,44.41,2.5,1.54
23.7,0.1,44.49,2.5,1.55
23.8,0.1,44.57,2.5,1.55
23.9,0.1,44.65,2.5,1.56
24,0.1,44.73,2.5,1.56
24.1,0.1,44.81,2.51,1.57
24.2,0.1,44.89,2.51,1.57
24.3,0.1,44.97,2.51,1.58
24.4,0.1,45.05,2.51,1.58
24.5,0.1,45.13,2.51,1.59
24.6,0.1,45.21,2.51,1.59
24.7,0.1,45.29,2.51,1.6
24.8,0.1,45.37,2.51,1.6
24.9,0.1,45.46,2.51,1.61
25,0.1,45.54,2.51,1.61
25.1,0.1,45.62,2.52,1.62
25.2,0.1,45.7,2.52,1.62
25.3,0.1,45.79,2.52,1.63
25.4,0.1,45.87,2.52,1.63
25.5,0.1,45.96,2.52,1.64
25.6,0.1,46.04,2.52,1.64
25.7,0.1,46.13,2.52,1.65
25.8,0.1,46.21,2.52,1.65
25.9,0.1,46.3,2.52,1.66
26,0.1,46.38,2.52,1.66
26.1,0.1,46.47,2.53,1.66
26.2,0.1,46.55,2.53,1.67
26.3,0.1,46.64,2.53,1.67
26.4,0.1,46.73,2.53,1.68
26.5,0.1,46.82,2.53,1.68
26.6,0.1,46.9,2.53,1.69
26.7,0.1,46.99,2.53,1.69
26.8,0.1,47.08,2.53,1.7
26.9,0.1,47.17,2.53,1.7
27,0.1,47.26,2.53,1.7
27.1,0.1,47.35,2.54,1.71
27.2,0.1,47.44,2.54,1.71
27.3,0.1,47.53,2.54,1.72
27.4,0.1,47.62,2.54,1.72
27.5,0.1,47.71,2.54,1.73
27.6,0.1,47.8,2.54,1.73
27.7,0.1,47.89,2.54,1.73
27.8,0.1,47.98,2.54,1.74
27.9,0.1,48.07,2.54,1.74
28,0.1,48.17,2.55,1.75
28.1,0.1,48.26,2.55,1.75
28.2,0.1,48.35,2.55,1.75
28.3,0.1,48.45,2.55,1.76
28.4,0.1,48.54,2.55,1.76
28.5,0.1,48.63,2.55,1.77
28.6,0.1,48.73,2.55,1.77
28.7,0.1,48.82,2.55,1.77
28.8,0.1,48.92,2.55,1.78
28.9,0.1,49.01,2.55,1.78
29,0.1,49.11,2.56,1.78
29.1,0.1,49.21,2.56,1.79
29.2,0.1,49.3,2.56,1.79
29.3,0.1,49.4,2.56,1.8
29.4,0.1,49.5,2.56,1.8
29.5,0.1,49.59,2.56,1.8
29.6,0.1,49.69,2.56,1.81
29.7,0.1,49.79,2.56,1.81
29.8,0.1,49.89,2.56,1.81
29.9,0.1,49.99,2.57,1.82
30,0.1,50.09,2.57,1.82
30.1,0.1,50.18,2.57,1.82
30.2,0.1,50.28,2.57,1.83
30.3,0.1,50.38,2.57,1.83
30.4,0.1,50.48,2.57,1.83
30.5,0.1,50.59,2.57,1.84
30.6,0.1,50.69,2.57,1.84
30.7,0.1,50.79,2.57,1.84
30.8,0.1,50.89,2.58,1.85
30.9,0.1,50.99,2.58,1.85
31,0.1,51.09,2.58,1.85
31.1,0.1,51.2,2.58,1.86
31.2,0.1,51.3,2.58,1.86
31.3,0.1,51.4,2.58,1.86
31.4,0.1,51.51,2.58,1.86
31.5,0.1,51.61,2.58,1.87
31.6,0.1,51.71,2.58,1.87
31.7,0.1,51.82,2.58,1.87
31.8,0.1,51.92,2.59,1.88
31.9,0.1,52.03,2.59,1.88
32,0.1,52.14,2.59,1.88
22.9,0.2,43.83,2.49,1.5
23,0.2,43.9,2.49,1.51
23.1,0.2,43.98,2.49,1.51
23.2,0.2,44.05,2.49,1.52
23.3,0.2,44.13,2.49,1.52
23.4,0.2,44.21,2.49,1.53
23.5,0.2,44.29,2.49,1.54
23.6,0.2,44.36,2.49,1.54
23.7,0.2,44.44,2.5,1.55
23.8,0.2,44.52,2.5,1.55
23.9,0.2,44.6,2.5,1.56
24,0.2,44.68,2.5,1.56
24.1,0.2,44.76,2.5,1.57
24.2,0.2,44.84,2.5,1.57
24.3,0.2,44.92,2.5,1.58
24.4,0.2,45,2.5,1.58
24.5,0.2,45.08,2.5,1.59
24.6,0.2,45.16,2.5,1.59
24.7,0.2,45.24,2.51,1.6
24.8,0.2,45.32,2.51,1.6
24.9,0.2,45.4,2.51,1.61
25,0.2,45.49,2.51,1.61
25.1,0.2,45.57,2.51,1.62
25.2,0.2,45.65,2.51,1.62
25.3,0.2,45.73,2.51,1.62
25.4,0.2,45.82,2.51,1.63
25.5,0.2,45.9,2.51,1.63
25.6,0.2,45.99,2.51,1.64
25.7,0.2,46.07,2.52,1.64
25.8,0.2,46.16,2.52,1.65
25.9,0.2,46.24,2.52,1.65
26,0.2,46.33,2.52,1.66
26.1,0.2,46.41,2.52,1.66
26.2,0.2,46.5,2.52,1.67
26.3,0.2,46.59,2.52,1.67
26.4,0.2,46.67,2.52,1.68
26.5,0.2,46.76,2.52,1.68
26.6,0.2,46.85,2.52,1.68
26.7,0.2,46.93,2.53,1.69
26.8,0.2,47.02,2.53,1.69
26.9,0.2,47.11,2.53,1.7
27,0.2,47.2,2.53,1.7
27.1,0.2,47.29,2.53,1.71
27.2,0.2,47.38,2.53,1.71
27.3,0.2,47.47,2.53,1.71
27.4,0.2,47.56,2.53,1.72
27.5,0.2,47.65,2.53,1.72
27.6,0.2,47.74,2.53,1.73
27.7,0.2,47.83,2.54,1.73
27.8,0.2,47.92,2.54,1.74
27.9,0.2,48.02,2.54,1.74
28,0.2,48.11,2.54,1.74
28.1,0.2,48.2,2.54,1.75
28.2,0.2,48.29,2.54,1.75
28.3,0.2,48.39,2.54,1.76
28.4,0.2,48.48,2.54,1.76
28.5,0.2,48.57,2.54,1.76
28.6,0.2,48.67,2.55,1.77
28.7,0.2,48.76,2.55,1.77
28.8,0.2,48.86,2.55,1.77
28.9,0.2,48.95,2.55,1.78
29,0.2,49.05,2.55,1.78
29.1,0.2,49.14,2.55,1.79
29.2,0.2,49.24,2.55,1.79
29.3,0.2,49.34,2.55,1.79
29.4,0.2,49.43,2.55,1.8
29.5,0.2,49.53,2.55,1.8
29.6,0.2,49.63,2.56,1.8
29.7,0.2,49.73,2.56,1.81
29.8,0.2,49.82,2.56,1.81
29.9,0.2,49.92,2.56,1.81
30,0.2,50.02,2.56,1.82
30.1,0.2,50.12,2.56,1.82
30.2,0.2,50.22,2.56,1.82
30.3,0.2,50.32,2.56,1.83
30.4,0.2,50.42,2.56,1.83
30.5,0.2,50.52,2.57,1.83
30.6,0.2,50.62,2.57,1.84
30.7,0.2,50.72,2.57,1.84
30.8,0.2,50.82,2.57,1.84
30.9,0.2,50.93,2.57,1.85
31,0.2,51.03,2.57,1.85
31.1,0.2,51.13,2.57,1.85
31.2,0.2,51.23,2.57,1.86
31.3,0.2,51.34,2.57,1.86
31.4,0.2,51.44,2.57,1.86
31.5,0.2,51.54,2.58,1.86
31.6,0.2,51.65,2.58,1.87
31.7,0.2,51.75,2.58,1.87
31.8,0.2,51.86,2.58,1.87
31.9,0.2,51.96,2.58,1.88
32,0.2,52.07,2.58,1.88
22.9,0.3,43.78,2.48,1.5
23,0.3,43.85,2.48,1.51
23.1,0.3,43.93,2.48,1.51
23.2,0.3,44.01,2.48,1.52
23.3,0.3,44.08,2.49,1.52
23.4,0.3,44.16,2.49,1.53
23.5,0.3,44.24,2.49,1.53
23.6,0.3,44.31,2.49,1.54
23.7,0.3,44.39,2.49,1.54
23.8,0.3,44.47,2.49,1.55
23.9,0.3,44.55,2.49,1.55
24,0.3,44.63,2.49,1.56
24.1,0.3,44.71,2.49,1.56
24.2,0.3,44.78,2.49,1.57
24.3,0.3,44.86,2.5,1.57
24.4,0.3,44.94,2.5,1.58
24.5,0.3,45.03,2.5,1.58
24.6,0.3,45.11,2.5,1.59
24.7,0.3,45.19,2.5,1.59
24.8,0.3,45.27,2.5,1.6
24.9,0.3,45.35,2.5,1.6
25,0.3,45.43,2.5,1.61
25.1,0.3,45.51,2.5,1.61
25.2,0.3,45.6,2.5,1.62
25.3,0.3,45.68,2.5,1.62
25.4,0.3,45.76,2.51,1.63
25.5,0.3,45.85,2.51,1.63
25.6,0.3,45.93,2.51,1.64
25.7,0.3,46.02,2.51,1.64
25.8,0.3,46.1,2.51,1.65
25.9,0.3,46.19,2.51,1.65
26,0.3,46.27,2.51,1.65
26.1,0.3,46.36,2.51,1.66
26.2,0.3,46.44,2.51,1.66
26.3,0.3,46.53,2.51,1.67
26.4,0.3,46.62,2.52,1.67
26.5,0.3,46.7,2.52,1.68
26.6,0.3,46.79,2.52,1.68
26.7,0.3,46.88,2.52,1.69
26.8,0.3,46.97,2.52,1.69
26.9,0.3,47.05,2.52,1.69
27,0.3,47.14,2.52,1.7
27.1,0.3,47.23,2.52,1.7
27.2,0.3,47.32,2.52,1.71
27.3,0.3,47.41,2.53,1.71
27.4,0.3,47.5,2.53,1.72
27.5,0.3,47.59,2.53,1.72
27.6,0.3,47.68,2.53,1.72
27.7,0.3,47.77,2.53,1.73
27.8,0.3,47.86,2.53,1.73
27.9,0.3,47.96,2.53,1.74
28,0.3,48.05,2.53,1.74
28.1,0.3,48.14,2.53,1.74
28.2,0.3,48.23,2.53,1.75
28.3,0.3,48.33,2.54,1.75
28.4,0.3,48.42,2.54,1.76
28.5,0.3,48.51,2.54,1.76
28.6,0.3,48.61,2.54,1.76
28.7,0.3,48.7,2.54,1.77
28.8,0.3,48.8,2.54,1.77
28.9,0.3,48.89,2.54,1.77
29,0.3,48.99,2.54,1.78
29.1,0.3,49.08,2.54,1.78
29.2,0.3,49.18,2.54,1.79
29.3,0.3,49.27,2.55,1.79
29.4,0.3,49.37,2.55,1.79
29.5,0.3,49.47,2.55,1.8
29.6,0.3,49.57,2.55,1.8
29.7,0.3,49.66,2.55,1.8
29.8,0.3,49.76,2.55,1.81
29.9,0.3,49.86,2.55,1.81
30,0.3,49.96,2.55,1.81
30.1,0.3,50.06,2.55,1.82
30.2,0.3,50.16,2.56,1.82
30.3,0.3,50.26,2.56,1.82
30.4,0.3,50.36,2.56,1.83
30.5,0.3,50.46,2.56,1.83
30.6,0.3,50.56,2.56,1.83
30.7,0.3,50.66,2.56,1.84
30.8,0.3,50.76,2.56,1.84
30.9,0.3,50.86,2.56,1.84
31,0.3,50.96,2.56,1.85
31.1,0.3,51.06,2.57,1.85
31.2,0.3,51.17,2.57,1.85
31.3,0.3,51.27,2.57,1.86
31.4,0.3,51.37,2.57,1.86
31.5,0.3,51.48,2.57,1.86
31.6,0.3,51.58,2.57,1.86
31.7,0.3,51.68,2.57,1.87
31.8,0.3,51.79,2.57,1.87
31.9,0.3,51.89,2.57,1.87
32,0.3,52,2.57,1.87
22.9,0.4,43.73,2.48,1.5
23,0.4,43.81,2.48,1.5
23.1,0.4,43.88,2.48,1.51
23.2,0.4,43.96,2.48,1.51
23.3,0.4,44.03,2.48,1.52
23.4,0.4,44.11,2.48,1.52
23.5,0.4,44.19,2.48,1.53
23.6,0.4,44.26,2.48,1.53
23.7,0.4,44.34,2.48,1.54
23.8,0.4,44.42,2.48,1.54
23.9,0.4,44.5,2.48,1.55
24,0.4,44.58,2.49,1.55
24.1,0.4,44.65,2.49,1.56
24.2,0.4,44.73,2.49,1.56
24.3,0.4,44.81,2.49,1.57
24.4,0.4,44.89,2.49,1.57
24.5,0.4,44.97,2.49,1.58
24.6,0.4,45.05,2.49,1.58
24.7,0.4,45.13,2.49,1.59
24.8,0.4,45.22,2.49,1.59
24.9,0.4,45.3,2.49,1.6
25,0.4,45.38,2.5,1.6
25.1,0.4,45.46,2.5,1.61
25.2,0.4,45.54,2.5,1.61
25.3,0.4,45.63,2.5,1.62
25.4,0.4,45.71,2.5,1.62
25.5,0.4,45.79,2.5,1.63
25.6,0.4,45.88,2.5,1.63
25.7,0.4,45.96,2.5,1.64
25.8,0.4,46.05,2.5,1.64
25.9,0.4,46.13,2.5,1.65
26,0.4,46.22,2.51,1.65
26.1,0.4,46.3,2.51,1.66
26.2,0.4,46.39,2.51,1.66
26.3,0.4,46.47,2.51,1.66
26.4,0.4,46.56,2.51,1.67
26.5,0.4,46.65,2.51,1.67
26.6,0.4,46.73,2.51,1.68
26.7,0.4,46.82,2.51,1.68
26.8,0.4,46.91,2.51,1.69
26.9,0.4,47,2.51,1.69
27,0.4,47.09,2.52,1.7
27.1,0.4,47.17,2.52,1.7
27.2,0.4,47.26,2.52,1.7
27.3,0.4,47.35,2.52,1.71
27.4,0.4,47.44,2.52,1.71
27.5,0.4,47.53,2.52,1.72
27.6,0.4,47.62,2.52,1.72
27.7,0.4,47.71,2.52,1.72
27.8,0.4,47.81,2.52,1.73
27.9,0.4,47.9,2.52,1.73
28,0.4,47.99,2.53,1.74
28.1,0.4,48.08,2.53,1.74
28.2,0.4,48.17,2.53,1.74
28.3,0.4,48.27,2.53,1.75
28.4,0.4,48.36,2.53,1.75
28.5,0.4,48.45,2.53,1.76
28.6,0.4,48.55,2.53,1.76
28.7,0.4,48.64,2.53,1.76
28.8,0.4,48.74,2.53,1.77
28.9,0.4,48.83,2.54,1.77
29,0.4,48.93,2.54,1.78
29.1,0.4,49.02,2.54,1.78
29.2,0.4,49.12,2.54,1.78
29.3,0.4,49.21,2.54,1.79
29.4,0.4,49.31,2.54,1.79
29.5,0.4,49.41,2.54,1.79
29.6,0.4,49.5,2.54,1.8
29.7,0.4,49.6,2.54,1.8
29.8,0.4,49.7,2.54,1.8
29.9,0.4,49.8,2.55,1.81
30,0.4,49.89,2.55,1.81
30.1,0.4,49.99,2.55,1.81
30.2,0.4,50.09,2.55,1.82
30.3,0.4,50.19,2.55,1.82
30.4,0.4,50.29,2.55,1.82
30.5,0.4,50.39,2.55,1.83
30.6,0.4,50.49,2.55,1.83
30.7,0.4,50.59,2.55,1.83
30.8,0.4,50.69,2.56,1.84
30.9,0.4,50.79,2.56,1.84
31,0.4,50.9,2.56,1.84
31.1,0.4,51,2.56,1.85
31.2,0.4,51.1,2.56,1.85
31.3,0.4,51.2,2.56,1.85
31.4,0.4,51.31,2.56,1.85
31.5,0.4,51.41,2.56,1.86
31.6,0.4,51.51,2.56,1.86
31.7,0.4,51.62,2.57,1.86
31.8,0.4,51.72,2.57,1.87
31.9,0.4,51.83,2.57,1.87
32,0.4,51.93,2.57,1.87
22.9,0.5,43.68,2.47,1.49
23,0.5,43.76,2.47,1.5
23.1,0.5,43.83,2.47,1.51
23.2,0.5,43.91,2.47,1.51
23.3,0.5,43.98,2.47,1.52
23.4,0.5,44.06,2.47,1.52
23.5,0.5,44.14,2.47,1.53
23.6,0.5,44.21,2.48,1.53
23.7,0.5,44.29,2.48,1.54
23.8,0.5,44.37,2.48,1.54
23.9,0.5,44.45,2.48,1.55
24,0.5,44.53,2.48,1.55
24.1,0.5,44.6,2.48,1.56
24.2,0.5,44.68,2.48,1.56
24.3,0.5,44.76,2.48,1.57
24.4,0.5,44.84,2.48,1.57
24.5,0.5,44.92,2.48,1.58
24.6,0.5,45,2.49,1.58
24.7,0.5,45.08,2.49,1.59
24.8,0.5,45.16,2.49,1.59
24.9,0.5,45.25,2.49,1.6
25,0.5,45.33,2.49,1.6
25.1,0.5,45.41,2.49,1.61
25.2,0.5,45.49,2.49,1.61
25.3,0.5,45.57,2.49,1.62
25.4,0.5,45.66,2.49,1.62
25.5,0.5,45.74,2.49,1.62
25.6,0.5,45.82,2.49,1.63
25.7,0.5,45.91,2.5,1.63
25.8,0.5,45.99,2.5,1.64
25.9,0.5,46.08,2.5,1.64
26,0.5,46.16,2.5,1.65
26.1,0.5,46.25,2.5,1.65
26.2,0.5,46.33,2.5,1.66
26.3,0.5,46.42,2.5,1.66
26.4,0.5,46.5,2.5,1.67
26.5,0.5,46.59,2.5,1.67
26.6,0.5,46.68,2.5,1.67
26.7,0.5,46.77,2.51,1.68
26.8,0.5,46.85,2.51,1.68
26.9,0.5,46.94,2.51,1.69
27,0.5,47.03,2.51,1.69
27.1,0.5,47.12,2.51,1.7
27.2,0.5,47.21,2.51,1.7
27.3,0.5,47.3,2.51,1.71
27.4,0.5,47.39,2.51,1.71
27.5,0.5,47.48,2.51,1.71
27.6,0.5,47.57,2.52,1.72
27.7,0.5,47.66,2.52,1.72
27.8,0.5,47.75,2.52,1.73
27.9,0.5,47.84,2.52,1.73
28,0.5,47.93,2.52,1.73
28.1,0.5,48.02,2.52,1.74
28.2,0.5,48.11,2.52,1.74
28.3,0.5,48.21,2.52,1.75
28.4,0.5,48.3,2.52,1.75
28.5,0.5,48.39,2.52,1.75
28.6,0.5,48.49,2.53,1.76
28.7,0.5,48.58,2.53,1.76
28.8,0.5,48.67,2.53,1.76
28.9,0.5,48.77,2.53,1.77
29,0.5,48.86,2.53,1.77
29.1,0.5,48.96,2.53,1.78
29.2,0.5,49.05,2.53,1.78
29.3,0.5,49.15,2.53,1.78
29.4,0.5,49.25,2.53,1.79
29.5,0.5,49.34,2.53,1.79
29.6,0.5,49.44,2.54,1.79
29.7,0.5,49.54,2.54,1.8
29.8,0.5,49.64,2.54,1.8
29.9,0.5,49.73,2.54,1.8
30,0.5,49.83,2.54,1.81
30.1,0.5,49.93,2.54,1.81
30.2,0.5,50.03,2.54,1.81
30.3,0.5,50.13,2.54,1.82
30.4,0.5,50.23,2.54,1.82
30.5,0.5,50.33,2.55,1.82
30.6,0.5,50.43,2.55,1.83
30.7,0.5,50.53,2.55,1.83
30.8,0.5,50.63,2.55,1.83
30.9,0.5,50.73,2.55,1.84
31,0.5,50.83,2.55,1.84
31.1,0.5,50.93,2.55,1.84
31.2,0.5,51.04,2.55,1.85
31.3,0.5,51.14,2.55,1.85
31.4,0.5,51.24,2.56,1.85
31.5,0.5,51.34,2.56,1.85
31.6,0.5,51.45,2.56,1.86
31.7,0.5,51.55,2.56,1.86
31.8,0.5,51.66,2.56,1.86
31.9,0.5,51.76,2.56,1.87
32,0.5,51.86,2.56,1.87
22.9,0.6,43.63,2.46,1.49
23,0.6,43.71,2.46,1.5
23.1,0.6,43.78,2.46,1.5
23.2,0.6,43.86,2.47,1.51
23.3,0.6,43.93,2.47,1.51
23.4,0.6,44.01,2.47,1.52
23.5,0.6,44.09,2.47,1.52
23.6,0.6,44.16,2.47,1.53
23.7,0.6,44.24,2.47,1.53
23.8,0.6,44.32,2.47,1.54
23.9,0.6,44.4,2.47,1.54
24,0.6,44.47,2.47,1.55
24.1,0.6,44.55,2.47,1.55
24.2,0.6,44.63,2.47,1.56
24.3,0.6,44.71,2.48,1.56
24.4,0.6,44.79,2.48,1.57
24.5,0.6,44.87,2.48,1.57
24.6,0.6,44.95,2.48,1.58
24.7,0.6,45.03,2.48,1.58
24.8,0.6,45.11,2.48,1.59
24.9,0.6,45.19,2.48,1.59
25,0.6,45.27,2.48,1.6
25.1,0.6,45.36,2.48,1.6
25.2,0.6,45.44,2.48,1.61
25.3,0.6,45.52,2.49,1.61
25.4,0.6,45.6,2.49,1.62
25.5,0.6,45.69,2.49,1.62
25.6,0.6,45.77,2.49,1.63
25.7,0.6,45.85,2.49,1.63
25.8,0.6,45.94,2.49,1.64
25.9,0.6,46.02,2.49,1.64
26,0.6,46.11,2.49,1.64
26.1,0.6,46.19,2.49,1.65
26.2,0.6,46.28,2.49,1.65
26.3,0.6,46.36,2.5,1.66
26.4,0.6,46.45,2.5,1.66
26.5,0.6,46.54,2.5,1.67
26.6,0.6,46.62,2.5,1.67
26.7,0.6,46.71,2.5,1.68
26.8,0.6,46.8,2.5,1.68
26.9,0.6,46.88,2.5,1.68
27,0.6,46.97,2.5,1.69
27.1,0.6,47.06,2.5,1.69
27.2,0.6,47.15,2.5,1.7
27.3,0.6,47.24,2.51,1.7
27.4,0.6,47.33,2.51,1.71
27.5,0.6,47.42,2.51,1.71
27.6,0.6,47.51,2.51,1.71
27.7,0.6,47.6,2.51,1.72
27.8,0.6,47.69,2.51,1.72
27.9,0.6,47.78,2.51,1.73
28,0.6,47.87,2.51,1.73
28.1,0.6,47.96,2.51,1.73
28.2,0.6,48.06,2.51,1.74
28.3,0.6,48.15,2.52,1.74
28.4,0.6,48.24,2.52,1.75
28.5,0.6,48.33,2.52,1.75
28.6,0.6,48.43,2.52,1.75
28.7,0.6,48.52,2.52,1.76
28.8,0.6,48.61,2.52,1.76
28.9,0.6,48.71,2.52,1.77
29,0.6,48.8,2.52,1.77
29.1,0.6,48.9,2.52,1.77
29.2,0.6,48.99,2.53,1.78
29.3,0.6,49.09,2.53,1.78
29.4,0.6,49.19,2.53,1.78
29.5,0.6,49.28,2.53,1.79
29.6,0.6,49.38,2.53,1.79
29.7,0.6,49.48,2.53,1.79
29.8,0.6,49.57,2.53,1.8
29.9,0.6,49.67,2.53,1.8
30,0.6,49.77,2.53,1.8
30.1,0.6,49.87,2.53,1.81
30.2,0.6,49.97,2.54,1.81
30.3,0.6,50.06,2.54,1.81
30.4,0.6,50.16,2.54,1.82
30.5,0.6,50.26,2.54,1.82
30.6,0.6,50.36,2.54,1.82
30.7,0.6,50.46,2.54,1.83
30.8,0.6,50.56,2.54,1.83
30.9,0.6,50.66,2.54,1.83
31,0.6,50.77,2.54,1.84
31.1,0.6,50.87,2.55,1.84
31.2,0.6,50.97,2.55,1.84
31.3,0.6,51.07,2.55,1.85
31.4,0.6,51.17,2.55,1.85
31.5,0.6,51.28,2.55,1.85
31.6,0.6,51.38,2.55,1.85
31.7,0.6,51.48,2.55,1.86
31.8,0.6,51.59,2.55,1.86
31.9,0.6,51.69,2.55,1.86
32,0.6,51.8,2.56,1.87
22.9,0.7,43.59,2.46,1.49
23,0.7,43.66,2.46,1.49
23.1,0.7,43.74,2.46,1.5
23.2,0.7,43.81,2.46,1.5
23.3,0.7,43.89,2.46,1.51
23.4,0.7,43.96,2.46,1.51
23.5,0.7,44.04,2.46,1.52
23.6,0.7,44.11,2.46,1.53
23.7,0.7,44.19,2.46,1.53
23.8,0.7,44.27,2.46,1.54
23.9,0.7,44.35,2.47,1.54
24,0.7,44.42,2.47,1.55
24.1,0.7,44.5,2.47,1.55
24.2,0.7,44.58,2.47,1.56
24.3,0.7,44.66,2.47,1.56
24.4,0.7,44.74,2.47,1.57
24.5,0.7,44.82,2.47,1.57
24.6,0.7,44.9,2.47,1.58
24.7,0.7,44.98,2.47,1.58
24.8,0.7,45.06,2.47,1.59
24.9,0.7,45.14,2.48,1.59
25,0.7,45.22,2.48,1.59
25.1,0.7,45.3,2.48,1.6
25.2,0.7,45.39,2.48,1.6
25.3,0.7,45.47,2.48,1.61
25.4,0.7,45.55,2.48,1.61
25.5,0.7,45.63,2.48,1.62
25.6,0.7,45.72,2.48,1.62
25.7,0.7,45.8,2.48,1.63
25.8,0.7,45.88,2.48,1.63
25.9,0.7,45.97,2.48,1.64
26,0.7,46.05,2.49,1.64
26.1,0.7,46.14,2.49,1.65
26.2,0.7,46.22,2.49,1.65
26.3,0.7,46.31,2.49,1.66
26.4,0.7,46.39,2.49,1.66
26.5,0.7,46.48,2.49,1.66
26.6,0.7,46.57,2.49,1.67
26.7,0.7,46.65,2.49,1.67
26.8,0.7,46.74,2.49,1.68
26.9,0.7,46.83,2.49,1.68
27,0.7,46.92,2.5,1.69
27.1,0.7,47,2.5,1.69
27.2,0.7,47.09,2.5,1.69
27.3,0.7,47.18,2.5,1.7
27.4,0.7,47.27,2.5,1.7
27.5,0.7,47.36,2.5,1.71
27.6,0.7,47.45,2.5,1.71
27.7,0.7,47.54,2.5,1.72
27.8,0.7,47.63,2.5,1.72
27.9,0.7,47.72,2.5,1.72
28,0.7,47.81,2.51,1.73
28.1,0.7,47.9,2.51,1.73
28.2,0.7,48,2.51,1.74
28.3,0.7,48.09,2.51,1.74
28.4,0.7,48.18,2.51,1.74
28.5,0.7,48.27,2.51,1.75
28.6,0.7,48.37,2.51,1.75
28.7,0.7,48.46,2.51,1.75
28.8,0.7,48.55,2.51,1.76
28.9,0.7,48.65,2.52,1.76
29,0.7,48.74,2.52,1.77
29.1,0.7,48.84,2.52,1.77
29.2,0.7,48.93,2.52,1.77
29.3,0.7,49.03,2.52,1.78
29.4,0.7,49.12,2.52,1.78
29.5,0.7,49.22,2.52,1.78
29.6,0.7,49.32,2.52,1.79
29.7,0.7,49.41,2.52,1.79
29.8,0.7,49.51,2.52,1.79
29.9,0.7,49.61,2.53,1.8
30,0.7,49.71,2.53,1.8
