mass,ta,tb,ewl,rmr
19.6,0,37.44,5.28,2.37
19.7,0,37.64,5.28,2.36
19.8,0,37.84,5.29,2.35
19.9,0,38.03,5.29,2.37
20,0,38.23,5.29,2.37
20.1,0,38.42,5.29,2.35
20.2,0,38.6,5.3,2.38
20.3,0,38.79,5.3,2.37
20.4,0,38.97,5.3,2.37
20.5,0,39.14,5.31,2.37
20.6,0,39.31,5.31,2.37
20.7,0,39.47,5.31,2.37
20.8,0,39.62,5.31,2.38
20.9,0,39.77,5.32,2.38
21,0,39.9,5.32,2.38
21.1,0,40.02,5.32,2.38
21.2,0,40.13,5.32,2.38
21.3,0,40.22,5.33,2.38
21.4,0,40.3,5.33,2.38
21.5,0,40.37,5.33,2.38
21.6,0,40.41,5.33,2.38
21.7,0,40.44,5.34,2.38
21.8,0,40.45,5.34,2.38
21.9,0,40.44,5.34,2.39
22,0,40.42,5.34,2.39
22.1,0,40.37,5.34,2.39
22.2,0,40.31,5.35,2.39
22.3,0,40.23,5.35,2.39
22.4,0,40.13,5.35,2.4
22.5,0,40.02,5.35,2.39
22.6,0,39.89,5.36,2.39
22.7,0,39.74,5.36,2.4
22.8,0,39.58,5.36,2.4
22.9,0,39.41,5.36,2.4
23,0,39.23,5.36,2.4
23.1,0,39.03,5.37,2.4
23.2,0,38.82,5.37,2.4
23.3,0,38.61,5.37,2.4
23.4,0,38.38,5.37,2.4
23.5,0,38.14,5.37,2.41
23.6,0,37.9,5.38,2.41
23.7,0,37.65,5.38,2.41
23.8,0,37.39,5.38,2.41
23.9,0,37.12,5.38,2.41
24,0,36.84,5.38,2.41
24.1,0,36.56,5.38,2.41
24.2,0,36.27,5.39,2.42
24.3,0,35.98,5.39,2.42
24.4,0,35.67,5.39,2.42
24.5,0,35.36,5.39,2.41
19.6,0.1,37.47,5.25,2.36
19.7,0.1,37.67,5.25,2.36
19.8,0.1,37.87,5.25,2.35
19.9,0.1,38.06,5.26,2.36
20,0.1,38.26,5.26,2.36
20.1,0.1,38.45,5.26,2.34
20.2,0.1,38.63,5.26,2.38
20.3,0.1,38.82,5.27,2.36
20.4,0.1,38.99,5.27,2.36
20.5,0.1,39.17,5.27,2.36
20.6,0.1,39.34,5.28,2.36
20.7,0.1,39.5,5.28,2.36
20.8,0.1,39.65,5.28,2.37
20.9,0.1,39.8,5.28,2.37
21,0.1,39.93,5.29,2.37
21.1,0.1,40.05,5.29,2.37
21.2,0.1,40.16,5.29,2.37
21.3,0.1,40.26,5.29,2.37
21.4,0.1,40.34,5.3,2.37
21.5,0.1,40.4,5.3,2.37
21.6,0.1,40.44,5.3,2.37
21.7,0.1,40.47,5.3,2.37
21.8,0.1,40.48,5.31,2.38
21.9,0.1,40.48,5.31,2.38
22,0.1,40.45,5.31,2.38
22.1,0.1,40.4,5.31,2.38
22.2,0.1,40.34,5.31,2.38
22.3,0.1,40.26,5.32,2.38
22.4,0.1,40.16,5.32,2.39
22.5,0.1,40.05,5.32,2.38
22.6,0.1,39.92,5.32,2.38
22.7,0.1,39.77,5.33,2.39
22.8,0.1,39.61,5.33,2.39
22.9,0.1,39.44,5.33,2.39
23,0.1,39.25,5.33,2.39
23.1,0.1,39.06,5.33,2.39
23.2,0.1,38.85,5.34,2.39
23.3,0.1,38.63,5.34,2.39
23.4,0.1,38.41,5.34,2.4
23.5,0.1,38.17,5.34,2.4
23.6,0.1,37.93,5.34,2.4
23.7,0.1,37.67,5.35,2.4
23.8,0.1,37.41,5.35,2.4
23.9,0.1,37.15,5.35,2.4
24,0.1,36.87,5.35,2.4
24.1,0.1,36.59,5.35,2.41
24.2,0.1,36.3,5.35,2.41
24.3,0.1,36,5.36,2.41
24.4,0.1,35.7,5.36,2.41
24.5,0.1,35.39,5.36,2.4
19.6,0.2,37.49,5.22,2.35
19.7,0.2,37.7,5.22,2.35
19.8,0.2,37.9,5.22,2.34
19.9,0.2,38.09,5.22,2.35
20,0.2,38.28,5.23,2.35
20.1,0.2,38.47,5.23,2.33
20.2,0.2,38.66,5.23,2.37
20.3,0.2,38.84,5.24,2.35
20.4,0.2,39.02,5.24,2.35
20.5,0.2,39.2,5.24,2.35
20.6,0.2,39.37,5.24,2.35
20.7,0.2,39.53,5.25,2.35
20.8,0.2,39.68,5.25,2.36
20.9,0.2,39.83,5.25,2.36
21,0.2,39.96,5.25,2.36
21.1,0.2,40.08,5.26,2.36
21.2,0.2,40.19,5.26,2.36
21.3,0.2,40.29,5.26,2.36
21.4,0.2,40.37,5.26,2.36
21.5,0.2,40.43,5.27,2.36
21.6,0.2,40.48,5.27,2.36
21.7,0.2,40.5,5.27,2.36
21.8,0.2,40.52,5.27,2.37
21.9,0.2,40.51,5.28,2.37
22,0.2,40.48,5.28,2.37
22.1,0.2,40.43,5.28,2.37
22.2,0.2,40.37,5.28,2.37
22.3,0.2,40.29,5.28,2.37
22.4,0.2,40.19,5.29,2.39
22.5,0.2,40.08,5.29,2.37
22.6,0.2,39.95,5.29,2.38
22.7,0.2,39.8,5.29,2.38
22.8,0.2,39.64,5.3,2.38
22.9,0.2,39.47,5.3,2.38
23,0.2,39.28,5.3,2.38
23.1,0.2,39.09,5.3,2.38
23.2,0.2,38.88,5.3,2.38
23.3,0.2,38.66,5.31,2.38
23.4,0.2,38.43,5.31,2.39
23.5,0.2,38.2,5.31,2.39
23.6,0.2,37.95,5.31,2.39
23.7,0.2,37.7,5.31,2.39
23.8,0.2,37.44,5.32,2.39
23.9,0.2,37.17,5.32,2.39
24,0.2,36.9,5.32,2.39
24.1,0.2,36.61,5.32,2.4
24.2,0.2,36.33,5.32,2.4
24.3,0.2,36.03,5.32,2.4
24.4,0.2,35.73,5.33,2.4
24.5,0.2,35.42,5.33,2.39
19.6,0.3,37.52,5.18,2.34
19.7,0.3,37.73,5.19,2.34
19.8,0.3,37.92,5.19,2.33
19.9,0.3,38.12,5.19,2.34
20,0.3,38.31,5.2,2.34
20.1,0.3,38.5,5.2,2.32
20.2,0.3,38.69,5.2,2.36
20.3,0.3,38.87,5.2,2.34
20.4,0.3,39.05,5.21,2.34
20.5,0.3,39.23,5.21,2.34
20.6,0.3,39.4,5.21,2.34
20.7,0.3,39.56,5.21,2.34
20.8,0.3,39.71,5.22,2.36
20.9,0.3,39.86,5.22,2.35
21,0.3,39.99,5.22,2.35
21.1,0.3,40.11,5.22,2.35
21.2,0.3,40.22,5.23,2.35
21.3,0.3,40.32,5.23,2.35
21.4,0.3,40.4,5.23,2.35
21.5,0.3,40.46,5.23,2.35
21.6,0.3,40.51,5.24,2.35
21.7,0.3,40.54,5.24,2.36
21.8,0.3,40.55,5.24,2.36
21.9,0.3,40.54,5.24,2.36
22,0.3,40.51,5.25,2.36
22.1,0.3,40.47,5.25,2.36
22.2,0.3,40.4,5.25,2.36
22.3,0.3,40.32,5.25,2.36
22.4,0.3,40.22,5.26,2.38
22.5,0.3,40.11,5.26,2.37
22.6,0.3,39.98,5.26,2.37
22.7,0.3,39.83,5.26,2.37
22.8,0.3,39.67,5.26,2.37
22.9,0.3,39.5,5.27,2.37
23,0.3,39.31,5.27,2.37
23.1,0.3,39.11,5.27,2.37
23.2,0.3,38.91,5.27,2.37
23.3,0.3,38.69,5.27,2.38
23.4,0.3,38.46,5.28,2.38
23.5,0.3,38.23,5.28,2.38
23.6,0.3,37.98,5.28,2.38
23.7,0.3,37.73,5.28,2.38
23.8,0.3,37.47,5.28,2.38
23.9,0.3,37.2,5.28,2.38
24,0.3,36.92,5.29,2.39
24.1,0.3,36.64,5.29,2.39
24.2,0.3,36.35,5.29,2.39
24.3,0.3,36.05,5.29,2.39
24.4,0.3,35.75,5.29,2.39
24.5,0.3,35.44,5.3,2.38
19.6,0.4,37.55,5.15,2.33
19.7,0.4,37.76,5.15,2.33
19.8,0.4,37.95,5.16,2.32
19.9,0.4,38.15,5.16,2.33
20,0.4,38.34,5.16,2.33
20.1,0.4,38.53,5.17,2.31
20.2,0.4,38.72,5.17,2.35
20.3,0.4,38.9,5.17,2.33
20.4,0.4,39.08,5.17,2.33
20.5,0.4,39.26,5.18,2.33
20.6,0.4,39.43,5.18,2.34
20.7,0.4,39.59,5.18,2.33
20.8,0.4,39.74,5.18,2.35
20.9,0.4,39.89,5.19,2.34
21,0.4,40.02,5.19,2.34
21.1,0.4,40.14,5.19,2.34
21.2,0.4,40.25,5.2,2.34
21.3,0.4,40.35,5.2,2.34
21.4,0.4,40.43,5.2,2.34
21.5,0.4,40.49,5.2,2.34
21.6,0.4,40.54,5.2,2.35
21.7,0.4,40.57,5.21,2.35
21.8,0.4,40.58,5.21,2.35
21.9,0.4,40.57,5.21,2.35
22,0.4,40.54,5.21,2.35
22.1,0.4,40.5,5.22,2.35
22.2,0.4,40.43,5.22,2.35
22.3,0.4,40.35,5.22,2.35
22.4,0.4,40.25,5.22,2.37
22.5,0.4,40.14,5.23,2.36
22.6,0.4,40.01,5.23,2.36
22.7,0.4,39.86,5.23,2.36
22.8,0.4,39.7,5.23,2.36
22.9,0.4,39.53,5.23,2.36
23,0.4,39.34,5.24,2.36
23.1,0.4,39.14,5.24,2.36
23.2,0.4,38.93,5.24,2.37
23.3,0.4,38.72,5.24,2.37
23.4,0.4,38.49,5.24,2.37
23.5,0.4,38.25,5.25,2.37
23.6,0.4,38.01,5.25,2.37
23.7,0.4,37.75,5.25,2.37
23.8,0.4,37.49,5.25,2.37
23.9,0.4,37.23,5.25,2.38
24,0.4,36.95,5.25,2.38
24.1,0.4,36.67,5.26,2.38
24.2,0.4,36.38,5.26,2.38
24.3,0.4,36.08,5.26,2.38
24.4,0.4,35.78,5.26,2.38
24.5,0.4,35.47,5.26,2.37
19.6,0.5,37.58,5.12,2.32
19.7,0.5,37.78,5.12,2.32
19.8,0.5,37.98,5.13,2.31
19.9,0.5,38.18,5.13,2.32
20,0.5,38.37,5.13,2.32
20.1,0.5,38.56,5.13,2.3
20.2,0.5,38.75,5.14,2.34
20.3,0.5,38.93,5.14,2.32
20.4,0.5,39.11,5.14,2.32
20.5,0.5,39.29,5.15,2.33
20.6,0.5,39.45,5.15,2.33
20.7,0.5,39.62,5.15,2.32
20.8,0.5,39.77,5.15,2.34
20.9,0.5,39.92,5.16,2.33
21,0.5,40.05,5.16,2.33
21.1,0.5,40.17,5.16,2.33
21.2,0.5,40.28,5.16,2.33
21.3,0.5,40.38,5.17,2.33
21.4,0.5,40.46,5.17,2.34
21.5,0.5,40.52,5.17,2.34
21.6,0.5,40.57,5.17,2.34
21.7,0.5,40.6,5.18,2.34
21.8,0.5,40.61,5.18,2.34
21.9,0.5,40.6,5.18,2.34
22,0.5,40.57,5.18,2.34
22.1,0.5,40.53,5.18,2.34
22.2,0.5,40.46,5.19,2.34
22.3,0.5,40.38,5.19,2.34
22.4,0.5,40.28,5.19,2.36
22.5,0.5,40.17,5.19,2.35
22.6,0.5,40.04,5.2,2.35
22.7,0.5,39.89,5.2,2.35
22.8,0.5,39.73,5.2,2.35
22.9,0.5,39.55,5.2,2.35
23,0.5,39.37,5.2,2.35
23.1,0.5,39.17,5.21,2.35
23.2,0.5,38.96,5.21,2.36
23.3,0.5,38.74,5.21,2.36
23.4,0.5,38.52,5.21,2.36
23.5,0.5,38.28,5.21,2.36
23.6,0.5,38.03,5.22,2.36
23.7,0.5,37.78,5.22,2.36
23.8,0.5,37.52,5.22,2.36
23.9,0.5,37.25,5.22,2.37
24,0.5,36.98,5.22,2.37
24.1,0.5,36.69,5.22,2.37
24.2,0.5,36.4,5.23,2.37
24.3,0.5,36.11,5.23,2.37
24.4,0.5,35.8,5.23,2.37
24.5,0.5,35.49,5.23,2.36
19.6,0.6,37.61,5.09,2.31
19.7,0.6,37.81,5.09,2.31
19.8,0.6,38.01,5.09,2.3
19.9,0.6,38.21,5.1,2.31
20,0.6,38.4,5.1,2.31
20.1,0.6,38.59,5.1,2.29
20.2,0.6,38.78,5.11,2.33
20.3,0.6,38.96,5.11,2.31
20.4,0.6,39.14,5.11,2.32
20.5,0.6,39.31,5.11,2.32
20.6,0.6,39.48,5.12,2.32
20.7,0.6,39.65,5.12,2.31
20.8,0.6,39.8,5.12,2.33
20.9,0.6,39.95,5.12,2.32
21,0.6,40.08,5.13,2.32
21.1,0.6,40.21,5.13,2.32
21.2,0.6,40.32,5.13,2.32
21.3,0.6,40.41,5.13,2.32
21.4,0.6,40.49,5.14,2.33
21.5,0.6,40.56,5.14,2.33
21.6,0.6,40.6,5.14,2.33
21.7,0.6,40.63,5.14,2.33
21.8,0.6,40.64,5.15,2.33
21.9,0.6,40.63,5.15,2.33
22,0.6,40.61,5.15,2.33
22.1,0.6,40.56,5.15,2.33
22.2,0.6,40.5,5.16,2.33
22.3,0.6,40.41,5.16,2.34
22.4,0.6,40.31,5.16,2.35
22.5,0.6,40.2,5.16,2.34
22.6,0.6,40.07,5.16,2.34
22.7,0.6,39.92,5.17,2.34
22.8,0.6,39.76,5.17,2.34
22.9,0.6,39.58,5.17,2.34
23,0.6,39.4,5.17,2.34
23.1,0.6,39.2,5.17,2.35
23.2,0.6,38.99,5.18,2.35
23.3,0.6,38.77,5.18,2.35
23.4,0.6,38.54,5.18,2.35
23.5,0.6,38.31,5.18,2.35
23.6,0.6,38.06,5.18,2.35
23.7,0.6,37.81,5.19,2.35
23.8,0.6,37.55,5.19,2.36
23.9,0.6,37.28,5.19,2.36
24,0.6,37,5.19,2.36
24.1,0.6,36.72,5.19,2.36
24.2,0.6,36.43,5.19,2.36
24.3,0.6,36.13,5.2,2.36
24.4,0.6,35.83,5.2,2.36
24.5,0.6,35.52,5.2,2.36
19.6,0.7,37.64,5.06,2.31
19.7,0.7,37.84,5.06,2.3
19.8,0.7,38.04,5.06,2.29
19.9,0.7,38.24,5.07,2.3
20,0.7,38.43,5.07,2.3
20.1,0.7,38.62,5.07,2.28
20.2,0.7,38.81,5.07,2.32
20.3,0.7,38.99,5.08,2.31
20.4,0.7,39.17,5.08,2.31
20.5,0.7,39.34,5.08,2.31
20.6,0.7,39.51,5.08,2.31
20.7,0.7,39.68,5.09,2.3
20.8,0.7,39.83,5.09,2.32
20.9,0.7,39.98,5.09,2.31
21,0.7,40.11,5.09,2.31
21.1,0.7,40.24,5.1,2.31
21.2,0.7,40.35,5.1,2.31
21.3,0.7,40.44,5.1,2.32
21.4,0.7,40.52,5.1,2.32
21.5,0.7,40.59,5.11,2.32
21.6,0.7,40.63,5.11,2.32
21.7,0.7,40.66,5.11,2.32
21.8,0.7,40.67,5.11,2.32
21.9,0.7,40.66,5.12,2.32
22,0.7,40.64,5.12,2.32
22.1,0.7,40.59,5.12,2.32
22.2,0.7,40.53,5.12,2.32
22.3,0.7,40.44,5.13,2.33
22.4,0.7,40.34,5.13,2.34
22.5,0.7,40.23,5.13,2.33
22.6,0.7,40.09,5.13,2.33
22.7,0.7,39.95,5.13,2.33
22.8,0.7,39.79,5.14,2.33
22.9,0.7,39.61,5.14,2.33
23,0.7,39.42,5.14,2.34
23.1,0.7,39.23,5.14,2.34
23.2,0.7,39.02,5.14,2.34
23.3,0.7,38.8,5.15,2.34
23.4,0.7,38.57,5.15,2.34
23.5,0.7,38.33,5.15,2.34
23.6,0.7,38.09,5.15,2.34
23.7,0.7,37.83,5.15,2.34
23.8,0.7,37.57,5.16,2.35
23.9,0.7,37.3,5.16,2.35
24,0.7,37.03,5.16,2.35
24.1,0.7,36.75,5.16,2.35
24.2,0.7,36.46,5.16,2.35
24.3,0.7,36.16,5.16,2.35
24.4,0.7,35.85,5.17,2.36
24.5,0.7,35.54,5.17,2.35
19.6,0.8,37.67,5.03,2.3
19.7,0.8,37.87,5.03,2.29
19.8,0.8,38.07,5.03,2.28
19.9,0.8,38.26,5.03,2.29
20,0.8,38.46,5.04,2.29
20.1,0.8,38.65,5.04,2.28
20.2,0.8,38.83,5.04,2.31
20.3,0.8,39.02,5.04,2.3
20.4,0.8,39.2,5.05,2.3
20.5,0.8,39.37,5.05,2.3
20.6,0.8,39.54,5.05,2.3
20.7,0.8,39.7,5.06,2.29
20.8,0.8,39.86,5.06,2.31
20.9,0.8,40.01,5.06,2.3
21,0.8,40.14,5.06,2.3
21.1,0.8,40.27,5.07,2.3
21.2,0.8,40.38,5.07,2.3
21.3,0.8,40.47,5.07,2.31
21.4,0.8,40.55,5.07,2.31
21.5,0.8,40.62,5.08,2.31
21.6,0.8,40.67,5.08,2.31
21.7,0.8,40.69,5.08,2.31
21.8,0.8,40.7,5.08,2.31
21.9,0.8,40.7,5.09,2.31
22,0.8,40.67,5.09,2.31
22.1,0.8,40.62,5.09,2.31
22.2,0.8,40.56,5.09,2.32
22.3,0.8,40.47,5.09,2.32
22.4,0.8,40.37,5.1,2.33
22.5,0.8,40.26,5.1,2.32
22.6,0.8,40.12,5.1,2.32
22.7,0.8,39.98,5.1,2.32
22.8,0.8,39.81,5.1,2.32
22.9,0.8,39.64,5.11,2.32
23,0.8,39.45,5.11,2.33
23.1,0.8,39.25,5.11,2.33
23.2,0.8,39.04,5.11,2.33
23.3,0.8,38.83,5.11,2.33
23.4,0.8,38.6,5.12,2.33
23.5,0.8,38.36,5.12,2.33
23.6,0.8,38.11,5.12,2.33
23.7,0.8,37.86,5.12,2.34
23.8,0.8,37.6,5.12,2.34
23.9,0.8,37.33,5.13,2.34
24,0.8,37.05,5.13,2.34
24.1,0.8,36.77,5.13,2.34
24.2,0.8,36.48,5.13,2.34
24.3,0.8,36.18,5.13,2.34
24.4,0.8,35.88,5.13,2.35
24.5,0.8,35.57,5.14,2.34
19.6,0.9,37.7,4.99,2.29
19.7,0.9,37.9,5,2.28
19.8,0.9,38.1,5,2.27
19.9,0.9,38.29,5,2.28
20,0.9,38.49,5.01,2.29
20.1,0.9,38.68,5.01,2.27
20.2,0.9,38.86,5.01,2.3
20.3,0.9,39.05,5.01,2.29
20.4,0.9,39.23,5.02,2.29
20.5,0.9,39.4,5.02,2.29
20.6,0.9,39.57,5.02,2.29
20.7,0.9,39.73,5.02,2.28
20.8,0.9,39.89,5.03,2.3
20.9,0.9,40.04,5.03,2.29
21,0.9,40.17,5.03,2.29
21.1,0.9,40.3,5.03,2.29
21.2,0.9,40.41,5.04,2.3
21.3,0.9,40.5,5.04,2.3
21.4,0.9,40.59,5.04,2.3
21.5,0.9,40.65,5.04,2.3
21.6,0.9,40.7,5.05,2.3
21.7,0.9,40.73,5.05,2.3
21.8,0.9,40.74,5.05,2.3
21.9,0.9,40.73,5.05,2.3
22,0.9,40.7,5.06,2.3
22.1,0.9,40.65,5.06,2.31
22.2,0.9,40.59,5.06,2.31
22.3,0.9,40.5,5.06,2.31
22.4,0.9,40.4,5.06,2.32
22.5,0.9,40.29,5.07,2.31
22.6,0.9,40.15,5.07,2.31
22.7,0.9,40.01,5.07,2.31
22.8,0.9,39.84,5.07,2.31
22.9,0.9,39.67,5.08,2.32
23,0.9,39.48,5.08,2.32
23.1,0.9,39.28,5.08,2.32
23.2,0.9,39.07,5.08,2.32
23.3,0.9,38.85,5.08,2.32
23.4,0.9,38.62,5.09,2.32
23.5,0.9,38.39,5.09,2.32
23.6,0.9,38.14,5.09,2.33
23.7,0.9,37.89,5.09,2.33
23.8,0.9,37.62,5.09,2.33
23.9,0.9,37.36,5.09,2.33
24,0.9,37.08,5.1,2.33
24.1,0.9,36.8,5.1,2.33
24.2,0.9,36.51,5.1,2.33
24.3,0.9,36.21,5.1,2.34
24.4,0.9,35.91,5.1,2.34
24.5,0.9,35.59,5.11,2.33
19.6,1,37.73,4.96,2.28
19.7,1,37.93,4.97,2.27
19.8,1,38.13,4.97,2.26
19.9,1,38.32,4.97,2.28
20,1,38.51,4.97,2.28
20.1,1,38.7,4.98,2.26
20.2,1,38.89,4.98,2.29
20.3,1,39.07,4.98,2.28
20.4,1,39.25,4.98,2.28
20.5,1,39.43,4.99,2.28
20.6,1,39.6,4.99,2.28
20.7,1,39.76,4.99,2.28
20.8,1,39.92,5,2.29
20.9,1,40.07,5,2.29
21,1,40.2,5,2.28
21.1,1,40.33,5,2.29
21.2,1,40.44,5.01,2.29
21.3,1,40.53,5.01,2.29
21.4,1,40.62,5.01,2.29
21.5,1,40.68,5.01,2.29
21.6,1,40.73,5.02,2.29
21.7,1,40.76,5.02,2.29
21.8,1,40.77,5.02,2.29
21.9,1,40.76,5.02,2.29
22,1,40.73,5.02,2.3
22.1,1,40.68,5.03,2.3
22.2,1,40.62,5.03,2.3
22.3,1,40.53,5.03,2.3
22.4,1,40.43,5.03,2.31
22.5,1,40.32,5.04,2.3
22.6,1,40.18,5.04,2.3
22.7,1,40.03,5.04,2.3
22.8,1,39.87,5.04,2.31
22.9,1,39.7,5.04,2.31
23,1,39.51,5.05,2.31
23.1,1,39.31,5.05,2.31
23.2,1,39.1,5.05,2.31
23.3,1,38.88,5.05,2.31
23.4,1,38.65,5.05,2.31
23.5,1,38.41,5.06,2.31
23.6,1,38.17,5.06,2.32
23.7,1,37.91,5.06,2.32
23.8,1,37.65,5.06,2.32
23.9,1,37.38,5.06,2.32
24,1,37.11,5.07,2.32
24.1,1,36.82,5.07,2.32
24.2,1,36.53,5.07,2.33
24.3,1,36.24,5.07,2.33
24.4,1,35.93,5.07,2.33
24.5,1,35.62,5.07,2.32
19.6,1.1,37.76,4.93,2.27
19.7,1.1,37.96,4.93,2.26
19.8,1.1,38.16,4.94,2.25
19.9,1.1,38.35,4.94,2.27
20,1.1,38.54,4.94,2.27
20.1,1.1,38.73,4.95,2.25
20.2,1.1,38.92,4.95,2.29
20.3,1.1,39.1,4.95,2.27
20.4,1.1,39.28,4.95,2.27
20.5,1.1,39.46,4.96,2.27
20.6,1.1,39.63,4.96,2.27
20.7,1.1,39.79,4.96,2.27
20.8,1.1,39.95,4.96,2.28
20.9,1.1,40.09,4.97,2.28
21,1.1,40.23,4.97,2.28
21.1,1.1,40.36,4.97,2.28
21.2,1.1,40.47,4.97,2.28
21.3,1.1,40.57,4.98,2.28
21.4,1.1,40.65,4.98,2.28
21.5,1.1,40.71,4.98,2.28
21.6,1.1,40.76,4.98,2.28
21.7,1.1,40.79,4.99,2.28
21.8,1.1,40.8,4.99,2.28
21.9,1.1,40.79,4.99,2.29
22,1.1,40.76,4.99,2.29
22.1,1.1,40.71,5,2.29
22.2,1.1,40.65,5,2.29
22.3,1.1,40.56,5,2.29
22.4,1.1,40.46,5,2.31
22.5,1.1,40.35,5,2.29
22.6,1.1,40.21,5.01,2.29
22.7,1.1,40.06,5.01,2.3
22.8,1.1,39.9,5.01,2.3
22.9,1.1,39.72,5.01,2.3
23,1.1,39.54,5.02,2.3
23.1,1.1,39.34,5.02,2.3
23.2,1.1,39.13,5.02,2.3
23.3,1.1,38.91,5.02,2.3
23.4,1.1,38.68,5.02,2.3
23.5,1.1,38.44,5.02,2.31
23.6,1.1,38.19,5.03,2.31
23.7,1.1,37.94,5.03,2.31
23.8,1.1,37.68,5.03,2.31
23.9,1.1,37.41,5.03,2.31
24,1.1,37.13,5.03,2.31
24.1,1.1,36.85,5.04,2.31
24.2,1.1,36.56,5.04,2.32
24.3,1.1,36.26,5.04,2.32
24.4,1.1,35.96,5.04,2.32
24.5,1.1,35.65,5.04,2.31
19.6,1.2,37.79,4.9,2.26
19.7,1.2,37.99,4.9,2.26
19.8,1.2,38.18,4.91,2.25
19.9,1.2,38.38,4.91,2.26
20,1.2,38.57,4.91,2.26
20.1,1.2,38.76,4.91,2.24
20.2,1.2,38.95,4.92,2.28
20.3,1.2,39.13,4.92,2.26
20.4,1.2,39.31,4.92,2.26
20.5,1.2,39.49,4.93,2.26
20.6,1.2,39.66,4.93,2.26
20.7,1.2,39.82,4.93,2.26
20.8,1.2,39.98,4.93,2.27
20.9,1.2,40.12,4.94,2.27
21,1.2,40.26,4.94,2.27
21.1,1.2,40.39,4.94,2.27
21.2,1.2,40.5,4.94,2.27
21.3,1.2,40.6,4.95,2.27
21.4,1.2,40.68,4.95,2.27
21.5,1.2,40.74,4.95,2.27
21.6,1.2,40.79,4.95,2.27
21.7,1.2,40.82,4.96,2.27
21.8,1.2,40.83,4.96,2.28
21.9,1.2,40.82,4.96,2.28
22,1.2,40.79,4.96,2.28
22.1,1.2,40.74,4.96,2.28
22.2,1.2,40.68,4.97,2.28
22.3,1.2,40.59,4.97,2.28
22.4,1.2,40.49,4.97,2.3
22.5,1.2,40.37,4.97,2.28
22.6,1.2,40.24,4.98,2.28
22.7,1.2,40.09,4.98,2.29
22.8,1.2,39.93,4.98,2.29
22.9,1.2,39.75,4.98,2.29
23,1.2,39.56,4.98,2.29
23.1,1.2,39.36,4.99,2.29
23.2,1.2,39.15,4.99,2.29
23.3,1.2,38.93,4.99,2.29
23.4,1.2,38.7,4.99,2.3
23.5,1.2,38.46,4.99,2.3
23.6,1.2,38.22,5,2.3
23.7,1.2,37.96,5,2.3
23.8,1.2,37.7,5,2.3
23.9,1.2,37.43,5,2.3
24,1.2,37.16,5,2.3
24.1,1.2,36.87,5,2.31
24.2,1.2,36.58,5.01,2.31
24.3,1.2,36.29,5.01,2.31
24.4,1.2,35.98,5.01,2.31
24.5,1.2,35.67,5.01,2.3
19.6,1.3,37.82,4.87,2.25
19.7,1.3,38.02,4.87,2.25
19.8,1.3,38.21,4.87,2.24
19.9,1.3,38.41,4.88,2.25
20,1.3,38.6,4.88,2.25
20.1,1.3,38.79,4.88,2.23
20.2,1.3,38.97,4.89,2.27
20.3,1.3,39.16,4.89,2.25
20.4,1.3,39.34,4.89,2.25
20.5,1.3,39.51,4.89,2.25
20.6,1.3,39.68,4.9,2.25
20.7,1.3,39.85,4.9,2.25
20.8,1.3,40.01,4.9,2.27
20.9,1.3,40.15,4.9,2.26
21,1.3,40.29,4.91,2.26
21.1,1.3,40.42,4.91,2.26
21.2,1.3,40.53,4.91,2.26
21.3,1.3,40.63,4.91,2.26
21.4,1.3,40.71,4.92,2.26
21.5,1.3,40.77,4.92,2.26
21.6,1.3,40.82,4.92,2.26
21.7,1.3,40.85,4.92,2.27
21.8,1.3,40.86,4.93,2.27
21.9,1.3,40.85,4.93,2.27
22,1.3,40.82,4.93,2.27
22.1,1.3,40.77,4.93,2.27
22.2,1.3,40.71,4.94,2.27
22.3,1.3,40.62,4.94,2.27
22.4,1.3,40.52,4.94,2.29
22.5,1.3,40.4,4.94,2.27
22.6,1.3,40.27,4.94,2.28
22.7,1.3,40.12,4.95,2.28
22.8,1.3,39.96,4.95,2.28
22.9,1.3,39.78,4.95,2.28
23,1.3,39.59,4.95,2.28
23.1,1.3,39.39,4.95,2.28
23.2,1.3,39.18,4.96,2.28
23.3,1.3,38.96,4.96,2.29
23.4,1.3,38.73,4.96,2.29
23.5,1.3,38.49,4.96,2.29
23.6,1.3,38.24,4.96,2.29
23.7,1.3,37.99,4.97,2.29
23.8,1.3,37.73,4.97,2.29
23.9,1.3,37.46,4.97,2.29
24,1.3,37.18,4.97,2.3
24.1,1.3,36.9,4.97,2.3
24.2,1.3,36.61,4.98,2.3
24.3,1.3,36.31,4.98,2.3
24.4,1.3,36.01,4.98,2.3
24.5,1.3,35.7,4.98,2.29
19.6,1.4,37.84,4.84,2.24
19.7,1.4,38.04,4.84,2.24
19.8,1.4,38.24,4.84,2.23
19.9,1.4,38.43,4.85,2.24
20,1.4,38.63,4.85,2.24
20.1,1.4,38.82,4.85,2.22
20.2,1.4,39,4.85,2.26
20.3,1.4,39.19,4.86,2.24
20.4,1.4,39.37,4.86,2.24
20.5,1.4,39.54,4.86,2.24
20.6,1.4,39.71,4.87,2.25
20.7,1.4,39.88,4.87,2.24
20.8,1.4,40.03,4.87,2.26
20.9,1.4,40.18,4.87,2.25
21,1.4,40.32,4.88,2.25
21.1,1.4,40.45,4.88,2.25
21.2,1.4,40.56,4.88,2.25
21.3,1.4,40.66,4.88,2.25
