mass,ta,tb,ewl,rmr
29.4,0.2,-2.74,0.1,0.3
29.5,0.2,-2.74,0.1,0.3
29.6,0.2,-2.74,0.1,0.3
29.7,0.2,-2.74,0.1,0.3
29.8,0.2,-2.74,0.1,0.3
29.9,0.2,-2.74,0.1,0.29
30,0.2,-2.74,0.1,0.29
30.1,0.2,-2.74,0.1,0.29
30.2,0.2,-2.74,0.1,0.29
25.4,0.3,-2.74,0.1,0.38
25.5,0.3,-2.74,0.1,0.38
25.6,0.3,-2.74,0.1,0.37
25.7,0.3,-2.74,0.1,0.37
25.8,0.3,-2.74,0.1,0.37
25.9,0.3,-2.74,0.1,0.37
26,0.3,-2.74,0.1,0.37
26.1,0.3,-2.74,0.1,0.37
26.2,0.3,-2.74,0.1,0.36
26.3,0.3,-2.74,0.1,0.36
26.4,0.3,-2.74,0.1,0.36
26.5,0.3,-2.74,0.1,0.36
26.6,0.3,-2.74,0.1,0.36
26.7,0.3,-2.74,0.1,0.35
26.8,0.3,-2.74,0.1,0.35
26.9,0.3,-2.74,0.1,0.35
27,0.3,-2.74,0.1,0.35
27.1,0.3,-2.74,0.1,0.35
27.2,0.3,-2.74,0.1,0.34
27.3,0.3,-2.74,0.1,0.34
27.4,0.3,-2.74,0.1,0.34
27.5,0.3,-2.74,0.1,0.34
27.6,0.3,-2.74,0.1,0.34
27.7,0.3,-2.74,0.1,0.34
27.8,0.3,-2.74,0.1,0.33
27.9,0.3,-2.74,0.1,0.33
28,0.3,-2.74,0.1,0.33
28.1,0.3,-2.74,0.1,0.33
28.2,0.3,-2.74,0.1,0.33
28.3,0.3,-2.74,0.1,0.32
28.4,0.3,-2.74,0.1,0.32
28.5,0.3,-2.74,0.1,0.32
28.6,0.3,-2.74,0.1,0.32
28.7,0.3,-2.74,0.1,0.32
28.8,0.3,-2.74,0.1,0.31
28.9,0.3,-2.74,0.1,0.31
29,0.3,-2.74,0.1,0.31
29.1,0.3,-2.74,0.1,0.31
29.2,0.3,-2.74,0.1,0.31
29.3,0.3,-2.74,0.1,0.3
29.4,0.3,-2.74,0.1,0.3
29.5,0.3,-2.74,0.1,0.3
29.6,0.3,-2.74,0.1,0.3
29.7,0.3,-2.74,0.1,0.3
29.8,0.3,-2.74,0.1,0.3
29.9,0.3,-2.74,0.1,0.29
30,0.3,-2.74,0.1,0.29
30.1,0.3,-2.74,0.1,0.29
30.2,0.3,-2.74,0.1,0.29
25.4,0.4,-2.74,0.1,0.38
25.5,0.4,-2.74,0.1,0.38
25.6,0.4,-2.74,0.1,0.38
25.7,0.4,-2.74,0.1,0.37
25.8,0.4,-2.74,0.1,0.37
25.9,0.4,-2.74,0.1,0.37
26,0.4,-2.74,0.1,0.37
26.1,0.4,-2.74,0.1,0.37
26.2,0.4,-2.74,0.1,0.36
26.3,0.4,-2.74,0.1,0.36
26.4,0.4,-2.74,0.1,0.36
26.5,0.4,-2.74,0.1,0.36
26.6,0.4,-2.74,0.1,0.36
26.7,0.4,-2.74,0.1,0.35
26.8,0.4,-2.74,0.1,0.35
26.9,0.4,-2.74,0.1,0.35
27,0.4,-2.74,0.1,0.35
27.1,0.4,-2.74,0.1,0.35
27.2,0.4,-2.74,0.1,0.35
27.3,0.4,-2.74,0.1,0.34
27.4,0.4,-2.74,0.1,0.34
27.5,0.4,-2.74,0.1,0.34
27.6,0.4,-2.74,0.1,0.34
27.7,0.4,-2.74,0.1,0.34
27.8,0.4,-2.74,0.1,0.33
27.9,0.4,-2.74,0.1,0.33
28,0.4,-2.74,0.1,0.33
28.1,0.4,-2.74,0.1,0.33
28.2,0.4,-2.74,0.1,0.33
28.3,0.4,-2.74,0.1,0.32
28.4,0.4,-2.74,0.1,0.32
28.5,0.4,-2.74,0.1,0.32
28.6,0.4,-2.74,0.1,0.32
28.7,0.4,-2.74,0.1,0.32
28.8,0.4,-2.74,0.1,0.31
28.9,0.4,-2.74,0.1,0.31
29,0.4,-2.74,0.1,0.31
29.1,0.4,-2.74,0.1,0.31
29.2,0.4,-2.74,0.1,0.31
29.3,0.4,-2.74,0.1,0.31
29.4,0.4,-2.74,0.1,0.3
29.5,0.4,-2.74,0.1,0.3
29.6,0.4,-2.74,0.1,0.3
29.7,0.4,-2.74,0.1,0.3
29.8,0.4,-2.74,0.1,0.3
29.9,0.4,-2.74,0.1,0.29
30,0.4,-2.74,0.1,0.29
30.1,0.4,-2.74,0.1,0.29
30.2,0.4,-2.74,0.1,0.29
25.4,0.5,-2.74,0.1,0.38
25.5,0.5,-2.74,0.1,0.38
25.6,0.5,-2.74,0.1,0.38
25.7,0.5,-2.74,0.1,0.37
25.8,0.5,-2.74,0.1,0.37
25.9,0.5,-2.74,0.1,0.37
26,0.5,-2.74,0.1,0.37
26.1,0.5,-2.74,0.1,0.37
26.2,0.5,-2.74,0.1,0.36
26.3,0.5,-2.74,0.1,0.36
26.4,0.5,-2.74,0.1,0.36
26.5,0.5,-2.74,0.1,0.36
26.6,0.5,-2.74,0.1,0.36
26.7,0.5,-2.74,0.1,0.36
26.8,0.5,-2.74,0.1,0.35
26.9,0.5,-2.74,0.1,0.35
27,0.5,-2.74,0.1,0.35
27.1,0.5,-2.74,0.1,0.35
27.2,0.5,-2.74,0.1,0.35
27.3,0.5,-2.74,0.1,0.34
27.4,0.5,-2.74,0.1,0.34
27.5,0.5,-2.74,0.1,0.34
27.6,0.5,-2.74,0.1,0.34
27.7,0.5,-2.74,0.1,0.34
27.8,0.5,-2.74,0.1,0.33
27.9,0.5,-2.74,0.1,0.33
28,0.5,-2.74,0.1,0.33
28.1,0.5,-2.74,0.1,0.33
28.2,0.5,-2.74,0.1,0.33
28.3,0.5,-2.74,0.1,0.32
28.4,0.5,-2.74,0.1,0.32
28.5,0.5,-2.74,0.1,0.32
28.6,0.5,-2.74,0.1,0.32
28.7,0.5,-2.74,0.1,0.32
28.8,0.5,-2.74,0.1,0.32
28.9,0.5,-2.74,0.1,0.31
29,0.5,-2.74,0.1,0.31
29.1,0.5,-2.74,0.1,0.31
29.2,0.5,-2.74,0.1,0.31
29.3,0.5,-2.74,0.1,0.31
29.4,0.5,-2.74,0.1,0.3
29.5,0.5,-2.74,0.1,0.3
29.6,0.5,-2.74,0.1,0.3
29.7,0.5,-2.74,0.1,0.3
29.8,0.5,-2.74,0.1,0.3
29.9,0.5,-2.74,0.1,0.29
30,0.5,-2.74,0.1,0.29
30.1,0.5,-2.74,0.1,0.29
30.2,0.5,-2.74,0.1,0.29
25.4,0.6,-2.74,0.1,0.38
25.5,0.6,-2.74,0.1,0.38
25.6,0.6,-2.74,0.1,0.38
25.7,0.6,-2.74,0.1,0.37
25.8,0.6,-2.74,0.1,0.37
25.9,0.6,-2.74,0.1,0.37
26,0.6,-2.74,0.1,0.37
26.1,0.6,-2.74,0.1,0.37
26.2,0.6,-2.74,0.1,0.36
26.3,0.6,-2.74,0.1,0.36
26.4,0.6,-2.74,0.1,0.36
26.5,0.6,-2.74,0.1,0.36
26.6,0.6,-2.74,0.1,0.36
26.7,0.6,-2.74,0.1,0.36
26.8,0.6,-2.74,0.1,0.35
26.9,0.6,-2.74,0.1,0.35
27,0.6,-2.74,0.1,0.35
27.1,0.6,-2.74,0.1,0.35
27.2,0.6,-2.74,0.1,0.35
27.3,0.6,-2.74,0.1,0.34
27.4,0.6,-2.74,0.1,0.34
27.5,0.6,-2.74,0.1,0.34
27.6,0.6,-2.74,0.1,0.34
27.7,0.6,-2.74,0.1,0.34
27.8,0.6,-2.74,0.1,0.33
27.9,0.6,-2.74,0.1,0.33
28,0.6,-2.74,0.1,0.33
28.1,0.6,-2.74,0.1,0.33
28.2,0.6,-2.74,0.1,0.33
28.3,0.6,-2.74,0.1,0.33
28.4,0.6,-2.74,0.1,0.32
28.5,0.6,-2.74,0.1,0.32
28.6,0.6,-2.74,0.1,0.32
28.7,0.6,-2.74,0.1,0.32
28.8,0.6,-2.74,0.1,0.32
28.9,0.6,-2.74,0.1,0.31
29,0.6,-2.74,0.1,0.31
29.1,0.6,-2.74,0.1,0.31
29.2,0.6,-2.74,0.1,0.31
29.3,0.6,-2.74,0.1,0.31
29.4,0.6,-2.74,0.1,0.3
29.5,0.6,-2.74,0.1,0.3
29.6,0.6,-2.74,0.1,0.3
29.7,0.6,-2.74,0.1,0.3
29.8,0.6,-2.74,0.1,0.3
29.9,0.6,-2.74,0.1,0.3
30,0.6,-2.74,0.1,0.29
30.1,0.6,-2.74,0.1,0.29
30.2,0.6,-2.74,0.1,0.29
25.4,0.7,-2.74,0.1,0.38
25.5,0.7,-2.74,0.1,0.38
25.6,0.7,-2.74,0.1,0.38
25.7,0.7,-2.74,0.1,0.37
25.8,0.7,-2.74,0.1,0.37
25.9,0.7,-2.74,0.1,0.37
26,0.7,-2.74,0.1,0.37
26.1,0.7,-2.74,0.1,0.37
26.2,0.7,-2.74,0.1,0.37
26.3,0.7,-2.74,0.1,0.36
26.4,0.7,-2.74,0.1,0.36
26.5,0.7,-2.74,0.1,0.36
26.6,0.7,-2.74,0.1,0.36
26.7,0.7,-2.74,0.1,0.36
26.8,0.7,-2.74,0.1,0.35
26.9,0.7,-2.74,0.1,0.35
27,0.7,-2.74,0.1,0.35
27.1,0.7,-2.74,0.1,0.35
27.2,0.7,-2.74,0.1,0.35
27.3,0.7,-2.74,0.1,0.34
27.4,0.7,-2.74,0.1,0.34
27.5,0.7,-2.74,0.1,0.34
27.6,0.7,-2.74,0.1,0.34
27.7,0.7,-2.74,0.1,0.34
27.8,0.7,-2.74,0.1,0.34
27.9,0.7,-2.74,0.1,0.33
28,0.7,-2.74,0.1,0.33
28.1,0.7,-2.74,0.1,0.33
28.2,0.7,-2.74,0.1,0.33
28.3,0.7,-2.74,0.1,0.33
28.4,0.7,-2.74,0.1,0.32
28.5,0.7,-2.74,0.1,0.32
28.6,0.7,-2.74,0.1,0.32
28.7,0.7,-2.74,0.1,0.32
28.8,0.7,-2.74,0.1,0.32
28.9,0.7,-2.74,0.1,0.31
29,0.7,-2.74,0.1,0.31
29.1,0.7,-2.74,0.1,0.31
29.2,0.7,-2.74,0.1,0.31
29.3,0.7,-2.74,0.1,0.31
29.4,0.7,-2.74,0.1,0.31
29.5,0.7,-2.74,0.1,0.3
29.6,0.7,-2.74,0.1,0.3
29.7,0.7,-2.74,0.1,0.3
29.8,0.7,-2.74,0.1,0.3
29.9,0.7,-2.74,0.1,0.3
30,0.7,-2.74,0.1,0.29
30.1,0.7,-2.74,0.1,0.29
30.2,0.7,-2.74,0.1,0.29
25.4,0.8,-2.74,0.1,0.38
25.5,0.8,-2.74,0.1,0.38
25.6,0.8,-2.74,0.1,0.38
25.7,0.8,-2.74,0.1,0.38
25.8,0.8,-2.74,0.1,0.37
25.9,0.8,-2.74,0.1,0.37
26,0.8,-2.74,0.1,0.37
26.1,0.8,-2.74,0.1,0.37
26.2,0.8,-2.74,0.1,0.37
26.3,0.8,-2.74,0.1,0.36
26.4,0.8,-2.74,0.1,0.36
26.5,0.8,-2.74,0.1,0.36
26.6,0.8,-2.74,0.1,0.36
26.7,0.8,-2.74,0.1,0.36
26.8,0.8,-2.74,0.1,0.35
26.9,0.8,-2.74,0.1,0.35
27,0.8,-2.74,0.1,0.35
27.1,0.8,-2.74,0.1,0.35
27.2,0.8,-2.74,0.1,0.35
27.3,0.8,-2.74,0.1,0.35
27.4,0.8,-2.74,0.1,0.34
27.5,0.8,-2.74,0.1,0.34
27.6,0.8,-2.74,0.1,0.34
27.7,0.8,-2.74,0.1,0.34
27.8,0.8,-2.74,0.1,0.34
27.9,0.8,-2.74,0.1,0.33
28,0.8,-2.74,0.1,0.33
28.1,0.8,-2.74,0.1,0.33
28.2,0.8,-2.74,0.1,0.33
28.3,0.8,-2.74,0.1,0.33
28.4,0.8,-2.74,0.1,0.32
28.5,0.8,-2.74,0.1,0.32
28.6,0.8,-2.74,0.1,0.32
28.7,0.8,-2.74,0.1,0.32
28.8,0.8,-2.74,0.1,0.32
28.9,0.8,-2.74,0.1,0.31
29,0.8,-2.74,0.1,0.31
29.1,0.8,-2.74,0.1,0.31
29.2,0.8,-2.74,0.1,0.31
29.3,0.8,-2.74,0.1,0.31
29.4,0.8,-2.74,0.1,0.31
29.5,0.8,-2.74,0.1,0.3
29.6,0.8,-2.74,0.1,0.3
