mass,ta,tb,ewl,rmr
8.2,0,36.85,0.05,0.31
8.3,0,36.68,0.05,0.31
8.4,0,36.54,0.05,0.31
8.5,0,36.44,0.05,0.31
8.6,0,36.35,0.05,0.31
8.7,0,36.29,0.05,0.31
8.8,0,36.25,0.05,0.31
8.9,0,36.23,0.05,0.31
9,0,36.23,0.05,0.31
9.1,0,36.27,0.05,0.31
9.2,0,36.37,0.05,0.31
9.3,0,36.57,0.05,0.31
9.4,0,36.86,0.06,0.31
9.5,0,37.22,0.07,0.31
9.6,0,37.58,0.1,0.31
9.7,0,37.85,0.13,0.31
9.8,0,37.98,0.2,0.31
9.9,0,38,0.29,0.31
10,0,37.94,0.41,0.31
10.1,0,37.84,0.5,0.31
10.2,0,37.72,0.54,0.31
10.3,0,37.6,0.49,0.31
10.4,0,37.47,0.39,0.31
10.5,0,37.35,0.29,0.31
10.6,0,37.23,0.2,0.31
10.7,0,37.11,0.15,0.31
10.8,0,37,0.11,0.31
8.2,0.1,36.86,0.05,0.31
8.3,0.1,36.69,0.05,0.31
8.4,0.1,36.55,0.05,0.31
8.5,0.1,36.44,0.05,0.31
8.6,0.1,36.36,0.05,0.31
8.7,0.1,36.3,0.05,0.31
8.8,0.1,36.26,0.05,0.31
8.9,0.1,36.23,0.05,0.31
9,0.1,36.23,0.05,0.31
9.1,0.1,36.27,0.05,0.31
9.2,0.1,36.38,0.05,0.31
9.3,0.1,36.58,0.05,0.31
9.4,0.1,36.87,0.06,0.31
9.5,0.1,37.24,0.07,0.31
9.6,0.1,37.6,0.1,0.31
9.7,0.1,37.86,0.14,0.31
9.8,0.1,37.99,0.2,0.31
9.9,0.1,38.01,0.3,0.31
10,0.1,37.95,0.41,0.31
10.1,0.1,37.85,0.5,0.31
10.2,0.1,37.73,0.54,0.31
10.3,0.1,37.6,0.49,0.31
10.4,0.1,37.48,0.39,0.31
10.5,0.1,37.35,0.28,0.31
10.6,0.1,37.23,0.2,0.31
10.7,0.1,37.12,0.14,0.31
10.8,0.1,37.01,0.11,0.31
8.2,0.2,36.87,0.05,0.31
8.3,0.2,36.69,0.05,0.31
8.4,0.2,36.55,0.05,0.31
8.5,0.2,36.45,0.05,0.31
8.6,0.2,36.36,0.05,0.31
8.7,0.2,36.3,0.05,0.31
8.8,0.2,36.26,0.05,0.31
8.9,0.2,36.24,0.05,0.31
9,0.2,36.24,0.05,0.31
9.1,0.2,36.28,0.05,0.31
9.2,0.2,36.39,0.05,0.31
9.3,0.2,36.59,0.05,0.31
9.4,0.2,36.89,0.06,0.31
9.5,0.2,37.25,0.07,0.31
9.6,0.2,37.61,0.1,0.31
9.7,0.2,37.88,0.14,0.31
9.8,0.2,38,0.2,0.31
9.9,0.2,38.02,0.3,0.31
10,0.2,37.96,0.41,0.31
10.1,0.2,37.86,0.5,0.31
10.2,0.2,37.74,0.53,0.31
10.3,0.2,37.61,0.48,0.31
10.4,0.2,37.48,0.38,0.31
10.5,0.2,37.36,0.28,0.31
10.6,0.2,37.24,0.2,0.31
10.7,0.2,37.12,0.14,0.31
10.8,0.2,37.01,0.11,0.31
8.2,0.3,36.87,0.05,0.31
8.3,0.3,36.7,0.05,0.31
8.4,0.3,36.56,0.05,0.31
8.5,0.3,36.45,0.05,0.31
8.6,0.3,36.37,0.05,0.31
8.7,0.3,36.31,0.05,0.31
8.8,0.3,36.27,0.05,0.31
8.9,0.3,36.24,0.05,0.31
9,0.3,36.24,0.05,0.31
9.1,0.3,36.29,0.05,0.31
9.2,0.3,36.4,0.05,0.31
9.3,0.3,36.6,0.05,0.31
9.4,0.3,36.9,0.06,0.31
9.5,0.3,37.27,0.07,0.31
9.6,0.3,37.63,0.1,0.31
9.7,0.3,37.89,0.14,0.31
9.8,0.3,38.02,0.21,0.31
9.9,0.3,38.03,0.3,0.31
10,0.3,37.97,0.41,0.31
10.1,0.3,37.86,0.51,0.31
10.2,0.3,37.74,0.53,0.31
10.3,0.3,37.62,0.48,0.31
10.4,0.3,37.49,0.38,0.31
10.5,0.3,37.37,0.28,0.31
10.6,0.3,37.24,0.2,0.31
10.7,0.3,37.13,0.14,0.31
10.8,0.3,37.02,0.11,0.31
8.2,0.4,36.88,0.05,0.31
8.3,0.4,36.71,0.05,0.31
8.4,0.4,36.57,0.05,0.31
8.5,0.4,36.46,0.05,0.31
8.6,0.4,36.38,0.05,0.31
8.7,0.4,36.31,0.05,0.31
8.8,0.4,36.27,0.05,0.31
8.9,0.4,36.25,0.05,0.31
9,0.4,36.25,0.05,0.31
9.1,0.4,36.3,0.05,0.31
9.2,0.4,36.41,0.05,0.31
9.3,0.4,36.61,0.05,0.31
9.4,0.4,36.91,0.06,0.31
9.5,0.4,37.28,0.07,0.31
9.6,0.4,37.64,0.1,0.31
9.7,0.4,37.9,0.14,0.31
9.8,0.4,38.03,0.21,0.31
9.9,0.4,38.04,0.3,0.31
10,0.4,37.97,0.42,0.31
10.1,0.4,37.87,0.51,0.31
10.2,0.4,37.75,0.53,0.31
10.3,0.4,37.62,0.48,0.31
10.4,0.4,37.5,0.38,0.31
10.5,0.4,37.37,0.27,0.31
10.6,0.4,37.25,0.19,0.31
10.7,0.4,37.13,0.14,0.31
10.8,0.4,37.02,0.11,0.31
8.2,0.5,36.89,0.05,0.31
8.3,0.5,36.71,0.05,0.31
8.4,0.5,36.57,0.05,0.31
8.5,0.5,36.46,0.05,0.31
8.6,0.5,36.38,0.05,0.31
8.7,0.5,36.32,0.05,0.31
8.8,0.5,36.28,0.05,0.31
8.9,0.5,36.25,0.05,0.31
9,0.5,36.26,0.05,0.31
9.1,0.5,36.3,0.05,0.31
9.2,0.5,36.42,0.05,0.31
9.3,0.5,36.62,0.05,0.31
9.4,0.5,36.93,0.06,0.31
9.5,0.5,37.3,0.07,0.31
9.6,0.5,37.66,0.1,0.31
9.7,0.5,37.92,0.14,0.31
9.8,0.5,38.04,0.21,0.31
9.9,0.5,38.05,0.31,0.31
10,0.5,37.98,0.42,0.31
10.1,0.5,37.88,0.51,0.31
10.2,0.5,37.76,0.53,0.31
10.3,0.5,37.63,0.47,0.31
10.4,0.5,37.5,0.37,0.31
10.5,0.5,37.38,0.27,0.31
10.6,0.5,37.26,0.19,0.31
10.7,0.5,37.14,0.14,0.31
10.8,0.5,37.03,0.1,0.31
8.2,0.6,36.89,0.05,0.31
8.3,0.6,36.72,0.05,0.31
8.4,0.6,36.58,0.05,0.31
8.5,0.6,36.47,0.05,0.31
8.6,0.6,36.39,0.05,0.31
8.7,0.6,36.32,0.05,0.31
8.8,0.6,36.28,0.05,0.31
8.9,0.6,36.26,0.05,0.31
9,0.6,36.26,0.05,0.31
9.1,0.6,36.31,0.05,0.31
9.2,0.6,36.43,0.05,0.31
9.3,0.6,36.63,0.05,0.31
9.4,0.6,36.94,0.06,0.31
9.5,0.6,37.31,0.08,0.31
9.6,0.6,37.67,0.1,0.31
9.7,0.6,37.93,0.14,0.31
9.8,0.6,38.05,0.21,0.31
9.9,0.6,38.06,0.31,0.31
10,0.6,37.99,0.42,0.31
10.1,0.6,37.89,0.51,0.31
10.2,0.6,37.77,0.53,0.31
10.3,0.6,37.64,0.47,0.31
10.4,0.6,37.51,0.37,0.31
10.5,0.6,37.38,0.27,0.31
10.6,0.6,37.26,0.19,0.31
10.7,0.6,37.14,0.14,0.31
10.8,0.6,37.03,0.1,0.31
8.2,0.7,36.9,0.05,0.31
8.3,0.7,36.72,0.05,0.31
8.4,0.7,36.58,0.05,0.31
8.5,0.7,36.48,0.05,0.31
8.6,0.7,36.39,0.05,0.31
8.7,0.7,36.33,0.05,0.31
8.8,0.7,36.29,0.05,0.31
8.9,0.7,36.26,0.05,0.31
9,0.7,36.27,0.05,0.31
9.1,0.7,36.32,0.05,0.31
9.2,0.7,36.44,0.05,0.31
9.3,0.7,36.65,0.05,0.31
9.4,0.7,36.95,0.06,0.31
9.5,0.7,37.33,0.08,0.31
9.6,0.7,37.69,0.1,0.31
9.7,0.7,37.94,0.14,0.31
9.8,0.7,38.06,0.21,0.31
9.9,0.7,38.07,0.31,0.31
10,0.7,38,0.42,0.31
10.1,0.7,37.9,0.51,0.31
10.2,0.7,37.77,0.52,0.31
10.3,0.7,37.65,0.46,0.31
10.4,0.7,37.52,0.36,0.31
10.5,0.7,37.39,0.26,0.31
10.6,0.7,37.27,0.19,0.31
10.7,0.7,37.15,0.13,0.31
10.8,0.7,37.04,0.1,0.31
8.2,0.8,36.91,0.05,0.31
8.3,0.8,36.73,0.05,0.31
8.4,0.8,36.59,0.05,0.31
8.5,0.8,36.48,0.05,0.31
8.6,0.8,36.4,0.05,0.31
8.7,0.8,36.34,0.05,0.31
8.8,0.8,36.29,0.05,0.31
8.9,0.8,36.27,0.05,0.31
9,0.8,36.28,0.05,0.31
9.1,0.8,36.33,0.05,0.31
9.2,0.8,36.44,0.05,0.31
9.3,0.8,36.66,0.05,0.31
9.4,0.8,36.97,0.06,0.31
9.5,0.8,37.34,0.08,0.31
9.6,0.8,37.7,0.1,0.31
9.7,0.8,37.96,0.15,0.31
9.8,0.8,38.08,0.22,0.31
9.9,0.8,38.08,0.31,0.31
10,0.8,38.01,0.42,0.31
10.1,0.8,37.9,0.51,0.31
10.2,0.8,37.78,0.52,0.31
10.3,0.8,37.65,0.46,0.31
10.4,0.8,37.52,0.36,0.31
10.5,0.8,37.4,0.26,0.31
10.6,0.8,37.27,0.18,0.31
10.7,0.8,37.15,0.13,0.31
10.8,0.8,37.04,0.1,0.31
8.2,0.9,36.92,0.05,0.31
8.3,0.9,36.74,0.05,0.31
8.4,0.9,36.6,0.05,0.31
8.5,0.9,36.49,0.05,0.31
8.6,0.9,36.4,0.05,0.31
8.7,0.9,36.34,0.05,0.31
8.8,0.9,36.3,0.05,0.31
8.9,0.9,36.28,0.05,0.31
9,0.9,36.28,0.05,0.31
9.1,0.9,36.33,0.05,0.31
9.2,0.9,36.45,0.05,0.31
9.3,0.9,36.67,0.05,0.31
9.4,0.9,36.98,0.06,0.31
9.5,0.9,37.36,0.08,0.31
9.6,0.9,37.72,0.1,0.31
9.7,0.9,37.97,0.15,0.31
9.8,0.9,38.09,0.22,0.31
9.9,0.9,38.09,0.32,0.31
10,0.9,38.02,0.43,0.31
10.1,0.9,37.91,0.51,0.31
10.2,0.9,37.79,0.52,0.31
10.3,0.9,37.66,0.46,0.31
10.4,0.9,37.53,0.35,0.31
10.5,0.9,37.4,0.26,0.31
10.6,0.9,37.28,0.18,0.31
10.7,0.9,37.16,0.13,0.31
10.8,0.9,37.05,0.1,0.31
8.2,1,36.92,0.05,0.31
8.3,1,36.74,0.05,0.31
8.4,1,36.6,0.05,0.31
8.5,1,36.49,0.05,0.31
8.6,1,36.41,0.05,0.31
8.7,1,36.35,0.05,0.31
8.8,1,36.3,0.05,0.31
8.9,1,36.28,0.05,0.31
9,1,36.29,0.05,0.31
9.1,1,36.34,0.05,0.31
9.2,1,36.46,0.05,0.31
9.3,1,36.68,0.05,0.31
9.4,1,37,0.06,0.31
9.5,1,37.37,0.08,0.31
9.6,1,37.73,0.1,0.31
9.7,1,37.99,0.15,0.31
9.8,1,38.1,0.22,0.31
9.9,1,38.1,0.32,0.31
10,1,38.03,0.43,0.31
10.1,1,37.92,0.51,0.31
10.2,1,37.8,0.52,0.31
10.3,1,37.67,0.45,0.31
10.4,1,37.54,0.35,0.31
10.5,1,37.41,0.25,0.31
10.6,1,37.28,0.18,0.31
10.7,1,37.16,0.13,0.31
10.8,1,37.05,0.1,0.31
8.2,1.1,36.93,0.05,0.31
8.3,1.1,36.75,0.05,0.31
8.4,1.1,36.61,0.05,0.31
8.5,1.1,36.5,0.05,0.31
8.6,1.1,36.41,0.05,0.31
8.7,1.1,36.35,0.05,0.31
8.8,1.1,36.31,0.05,0.31
8.9,1.1,36.29,0.05,0.31
9,1.1,36.3,0.05,0.31
9.1,1.1,36.35,0.05,0.31
9.2,1.1,36.47,0.05,0.31
9.3,1.1,36.69,0.05,0.31
9.4,1.1,37.01,0.06,0.31
9.5,1.1,37.39,0.08,0.31
9.6,1.1,37.75,0.1,0.31
9.7,1.1,38,0.15,0.31
9.8,1.1,38.11,0.22,0.31
9.9,1.1,38.11,0.32,0.31
10,1.1,38.04,0.43,0.31
10.1,1.1,37.93,0.51,0.31
10.2,1.1,37.8,0.51,0.31
10.3,1.1,37.67,0.45,0.31
10.4,1.1,37.54,0.35,0.31
10.5,1.1,37.41,0.25,0.31
10.6,1.1,37.29,0.18,0.31
10.7,1.1,37.17,0.13,0.31
10.8,1.1,37.05,0.1,0.31
8.2,1.2,36.94,0.05,0.31
8.3,1.2,36.76,0.05,0.31
8.4,1.2,36.61,0.05,0.31
8.5,1.2,36.5,0.05,0.31
8.6,1.2,36.42,0.05,0.31
8.7,1.2,36.36,0.05,0.31
8.8,1.2,36.31,0.05,0.31
8.9,1.2,36.29,0.05,0.31
9,1.2,36.3,0.05,0.31
9.1,1.2,36.36,0.05,0.31
9.2,1.2,36.48,0.05,0.31
9.3,1.2,36.7,0.05,0.31
9.4,1.2,37.02,0.06,0.31
9.5,1.2,37.41,0.08,0.31
9.6,1.2,37.77,0.11,0.31
9.7,1.2,38.01,0.15,0.31
9.8,1.2,38.12,0.22,0.31
9.9,1.2,38.12,0.32,0.31
10,1.2,38.05,0.43,0.31
10.1,1.2,37.94,0.51,0.31
10.2,1.2,37.81,0.51,0.31
10.3,1.2,37.68,0.44,0.31
10.4,1.2,37.55,0.34,0.31
10.5,1.2,37.42,0.25,0.31
10.6,1.2,37.3,0.17,0.31
10.7,1.2,37.18,0.13,0.31
10.8,1.2,37.06,0.1,0.31
8.2,1.3,36.94,0.05,0.31
8.3,1.3,36.76,0.05,0.31
8.4,1.3,36.62,0.05,0.31
8.5,1.3,36.51,0.05,0.31
8.6,1.3,36.42,0.05,0.31
8.7,1.3,36.36,0.05,0.31
8.8,1.3,36.32,0.05,0.31
8.9,1.3,36.3,0.05,0.31
9,1.3,36.31,0.05,0.31
9.1,1.3,36.36,0.05,0.31
9.2,1.3,36.49,0.05,0.31
9.3,1.3,36.72,0.05,0.31
9.4,1.3,37.04,0.06,0.31
9.5,1.3,37.42,0.08,0.31
9.6,1.3,37.78,0.11,0.31
9.7,1.3,38.03,0.15,0.31
9.8,1.3,38.14,0.23,0.31
9.9,1.3,38.13,0.33,0.31
10,1.3,38.06,0.44,0.31
10.1,1.3,37.95,0.51,0.31
10.2,1.3,37.82,0.51,0.31
10.3,1.3,37.69,0.44,0.31
10.4,1.3,37.56,0.34,0.31
10.5,1.3,37.43,0.24,0.31
10.6,1.3,37.3,0.17,0.31
10.7,1.3,37.18,0.13,0.31
10.8,1.3,37.06,0.1,0.31
8.2,1.4,36.95,0.05,0.31
8.3,1.4,36.77,0.05,0.31
8.4,1.4,36.63,0.05,0.31
8.5,1.4,36.52,0.05,0.31
8.6,1.4,36.43,0.05,0.31
8.7,1.4,36.37,0.05,0.31
8.8,1.4,36.33,0.05,0.31
8.9,1.4,36.31,0.05,0.31
9,1.4,36.31,0.05,0.31
9.1,1.4,36.37,0.05,0.31
9.2,1.4,36.5,0.05,0.31
9.3,1.4,36.73,0.05,0.31
9.4,1.4,37.05,0.06,0.31
9.5,1.4,37.44,0.08,0.31
9.6,1.4,37.8,0.11,0.31
9.7,1.4,38.04,0.15,0.31
9.8,1.4,38.15,0.23,0.31
9.9,1.4,38.14,0.33,0.31
10,1.4,38.07,0.44,0.31
10.1,1.4,37.95,0.51,0.31
10.2,1.4,37.83,0.51,0.31
10.3,1.4,37.69,0.44,0.31
10.4,1.4,37.56,0.33,0.31
10.5,1.4,37.43,0.24,0.31
10.6,1.4,37.31,0.17,0.31
10.7,1.4,37.19,0.12,0.31
10.8,1.4,37.07,0.1,0.31
8.2,1.5,36.96,0.05,0.31
8.3,1.5,36.78,0.05,0.31
8.4,1.5,36.63,0.05,0.31
8.5,1.5,36.52,0.05,0.31
8.6,1.5,36.44,0.05,0.31
8.7,1.5,36.37,0.05,0.31
8.8,1.5,36.33,0.05,0.31
8.9,1.5,36.31,0.05,0.31
9,1.5,36.32,0.05,0.31
9.1,1.5,36.38,0.05,0.31
9.2,1.5,36.51,0.05,0.31
9.3,1.5,36.74,0.06,0.31
9.4,1.5,37.07,0.06,0.31
9.5,1.5,37.45,0.08,0.31
9.6,1.5,37.81,0.11,0.31
9.7,1.5,38.06,0.16,0.31
9.8,1.5,38.16,0.23,0.31
9.9,1.5,38.15,0.33,0.31
10,1.5,38.08,0.44,0.31
10.1,1.5,37.96,0.51,0.31
10.2,1.5,37.84,0.5,0.31
10.3,1.5,37.7,0.43,0.31
10.4,1.5,37.57,0.33,0.31
10.5,1.5,37.44,0.24,0.31
10.6,1.5,37.31,0.17,0.31
10.7,1.5,37.19,0.12,0.31
10.8,1.5,37.07,0.1,0.31
8.2,1.6,36.96,0.05,0.31
8.3,1.6,36.78,0.05,0.31
8.4,1.6,36.64,0.05,0.31
8.5,1.6,36.53,0.05,0.31
8.6,1.6,36.44,0.05,0.31
8.7,1.6,36.38,0.05,0.31
8.8,1.6,36.34,0.05,0.31
8.9,1.6,36.32,0.05,0.31
9,1.6,36.33,0.05,0.31
9.1,1.6,36.39,0.05,0.31
9.2,1.6,36.52,0.05,0.31
9.3,1.6,36.75,0.06,0.31
9.4,1.6,37.08,0.06,0.31
9.5,1.6,37.47,0.08,0.31
9.6,1.6,37.83,0.11,0.31
9.7,1.6,38.07,0.16,0.31
9.8,1.6,38.17,0.23,0.31
9.9,1.6,38.16,0.33,0.31
10,1.6,38.08,0.44,0.31
10.1,1.6,37.97,0.51,0.31
10.2,1.6,37.84,0.5,0.31
10.3,1.6,37.71,0.43,0.31
10.4,1.6,37.58,0.32,0.31
10.5,1.6,37.44,0.23,0.31
10.6,1.6,37.32,0.16,0.31
10.7,1.6,37.2,0.12,0.31
10.8,1.6,37.08,0.1,0.31
8.2,1.7,36.97,0.05,0.31
8.3,1.7,36.79,0.05,0.31
8.4,1.7,36.64,0.05,0.31
8.5,1.7,36.53,0.05,0.31
8.6,1.7,36.45,0.05,0.31
8.7,1.7,36.38,0.05,0.31
8.8,1.7,36.34,0.05,0.31
8.9,1.7,36.32,0.05,0.31
9,1.7,36.33,0.05,0.31
9.1,1.7,36.4,0.05,0.31
9.2,1.7,36.53,0.05,0.31
9.3,1.7,36.76,0.06,0.31
9.4,1.7,37.09,0.06,0.31
9.5,1.7,37.48,0.08,0.31
9.6,1.7,37.84,0.11,0.31
9.7,1.7,38.08,0.16,0.31
9.8,1.7,38.18,0.24,0.31
9.9,1.7,38.17,0.34,0.31
10,1.7,38.09,0.44,0.31
10.1,1.7,37.98,0.51,0.31
10.2,1.7,37.85,0.5,0.31
10.3,1.7,37.72,0.42,0.31
10.4,1.7,37.58,0.32,0.31
10.5,1.7,37.45,0.23,0.31
10.6,1.7,37.32,0.16,0.31
10.7,1.7,37.2,0.12,0.31
10.8,1.7,37.08,0.09,0.31
8.2,1.8,36.98,0.05,0.31
8.3,1.8,36.8,0.05,0.31
8.4,1.8,36.65,0.05,0.31
8.5,1.8,36.54,0.05,0.31
8.6,1.8,36.45,0.05,0.31
8.7,1.8,36.39,0.05,0.31
8.8,1.8,36.35,0.05,0.31
8.9,1.8,36.33,0.05,0.31
9,1.8,36.34,0.05,0.31
9.1,1.8,36.4,0.05,0.31
9.2,1.8,36.54,0.05,0.31
9.3,1.8,36.78,0.06,0.31
9.4,1.8,37.11,0.06,0.31
9.5,1.8,37.5,0.08,0.31
9.6,1.8,37.86,0.11,0.31
9.7,1.8,38.1,0.16,0.31
9.8,1.8,38.2,0.24,0.31
9.9,1.8,38.18,0.34,0.31
10,1.8,38.1,0.44,0.31
10.1,1.8,37.99,0.51,0.31
10.2,1.8,37.86,0.5,0.31
10.3,1.8,37.72,0.42,0.31
10.4,1.8,37.59,0.32,0.31
10.5,1.8,37.46,0.23,0.31
10.6,1.8,37.33,0.16,0.31
10.7,1.8,37.21,0.12,0.31
10.8,1.8,37.09,0.09,0.31
8.2,1.9,36.98,0.05,0.31
8.3,1.9,36.8,0.05,0.31
8.4,1.9,36.66,0.05,0.31
8.5,1.9,36.54,0.05,0.31
8.6,1.9,36.46,0.05,0.31
8.7,1.9,36.4,0.05,0.31
8.8,1.9,36.35,0.05,0.31
8.9,1.9,36.33,0.05,0.31
9,1.9,36.35,0.05,0.31
9.1,1.9,36.41,0.05,0.31
9.2,1.9,36.55,0.05,0.31
9.3,1.9,36.79,0.06,0.31
9.4,1.9,37.12,0.07,0.31
9.5,1.9,37.52,0.08,0.31
9.6,1.9,37.87,0.11,0.31
9.7,1.9,38.11,0.16,0.31
9.8,1.9,38.21,0.24,0.31
9.9,1.9,38.19,0.34,0.31
10,1.9,38.11,0.45,0.31
10.1,1.9,38,0.51,0.31
10.2,1.9,37.87,0.49,0.31
10.3,1.9,37.73,0.41,0.31
10.4,1.9,37.6,0.31,0.31
10.5,1.9,37.46,0.22,0.31
10.6,1.9,37.34,0.16,0.31
10.7,1.9,37.21,0.12,0.31
10.8,1.9,37.09,0.09,0.31
8.2,2,36.99,0.05,0.31
8.3,2,36.81,0.05,0.31
8.4,2,36.66,0.05,0.31
8.5,2,36.55,0.05,0.31
8.6,2,36.46,0.05,0.31
8.7,2,36.4,0.05,0.31
8.8,2,36.36,0.05,0.31
8.9,2,36.34,0.05,0.31
9,2,36.35,0.05,0.31
9.1,2,36.42,0.05,0.31
9.2,2,36.56,0.05,0.31
9.3,2,36.8,0.06,0.31
9.4,2,37.14,0.07,0.31
9.5,2,37.53,0.08,0.31
9.6,2,37.89,0.11,0.31
9.7,2,38.13,0.16,0.31
9.8,2,38.22,0.24,0.31
9.9,2,38.2,0.34,0.31
10,2,38.12,0.45,0.31
10.1,2,38.01,0.51,0.31
10.2,2,37.87,0.49,0.31
10.3,2,37.74,0.41,0.31
10.4,2,37.6,0.31,0.31
10.5,2,37.47,0.22,0.31
10.6,2,37.34,0.16,0.31
10.7,2,37.22,0.12,0.31
10.8,2,37.1,0.09,0.31
8.2,2.1,37,0.05,0.31
8.3,2.1,36.82,0.05,0.31
8.4,2.1,36.67,0.05,0.31
8.5,2.1,36.56,0.05,0.31
8.6,2.1,36.47,0.05,0.31
8.7,2.1,36.41,0.05,0.31
8.8,2.1,36.36,0.05,0.31
8.9,2.1,36.35,0.05,0.31
9,2.1,36.36,0.05,0.31
9.1,2.1,36.43,0.05,0.31
9.2,2.1,36.57,0.05,0.31
9.3,2.1,36.81,0.06,0.31
9.4,2.1,37.15,0.07,0.31
9.5,2.1,37.55,0.08,0.31
9.6,2.1,37.91,0.11,0.31
9.7,2.1,38.14,0.17,0.31
9.8,2.1,38.23,0.24,0.31
9.9,2.1,38.21,0.35,0.31
10,2.1,38.13,0.45,0.31
10.1,2.1,38.01,0.51,0.31
10.2,2.1,37.88,0.49,0.31
10.3,2.1,37.74,0.41,0.31
10.4,2.1,37.61,0.3,0.31
10.5,2.1,37.48,0.22,0.31
10.6,2.1,37.35,0.15,0.31
10.7,2.1,37.22,0.12,0.31
10.8,2.1,37.1,0.09,0.31
8.2,2.2,37.01,0.05,0.31
8.3,2.2,36.82,0.05,0.31
8.4,2.2,36.68,0.05,0.31
8.5,2.2,36.56,0.05,0.31
8.6,2.2,36.47,0.05,0.31
8.7,2.2,36.41,0.05,0.31
8.8,2.2,36.37,0.05,0.31
8.9,2.2,36.35,0.05,0.31
9,2.2,36.37,0.05,0.31
9.1,2.2,36.43,0.05,0.31
9.2,2.2,36.58,0.05,0.31
9.3,2.2,36.82,0.06,0.31
9.4,2.2,37.17,0.07,0.31
9.5,2.2,37.56,0.08,0.31
9.6,2.2,37.92,0.11,0.31
9.7,2.2,38.15,0.17,0.31
9.8,2.2,38.24,0.25,0.31
9.9,2.2,38.22,0.35,0.31
10,2.2,38.14,0.45,0.31
10.1,2.2,38.02,0.5,0.31
10.2,2.2,37.89,0.48,0.31
10.3,2.2,37.75,0.4,0.31
10.4,2.2,37.62,0.3,0.31
10.5,2.2,37.48,0.21,0.31
10.6,2.2,37.35,0.15,0.31
10.7,2.2,37.23,0.11,0.31
10.8,2.2,37.11,0.09,0.31
8.2,2.3,37.01,0.05,0.31
8.3,2.3,36.83,0.05,0.31
8.4,2.3,36.68,0.05,0.31
8.5,2.3,36.57,0.05,0.31
8.6,2.3,36.48,0.05,0.31
8.7,2.3,36.42,0.05,0.31
8.8,2.3,36.38,0.05,0.31
8.9,2.3,36.36,0.05,0.31
9,2.3,36.37,0.05,0.31
9.1,2.3,36.44,0.05,0.31
9.2,2.3,36.59,0.05,0.31
9.3,2.3,36.84,0.06,0.31
9.4,2.3,37.18,0.07,0.31
9.5,2.3,37.58,0.08,0.31
9.6,2.3,37.94,0.12,0.31
9.7,2.3,38.17,0.17,0.31
9.8,2.3,38.26,0.25,0.31
9.9,2.3,38.24,0.35,0.31
10,2.3,38.15,0.45,0.31
10.1,2.3,38.03,0.5,0.31
10.2,2.3,37.9,0.48,0.31
10.3,2.3,37.76,0.4,0.31
10.4,2.3,37.62,0.3,0.31
10.5,2.3,37.49,0.21,0.31
10.6,2.3,37.36,0.15,0.31
10.7,2.3,37.23,0.11,0.31
10.8,2.3,37.11,0.09,0.31
8.2,2.4,37.02,0.05,0.31
8.3,2.4,36.84,0.05,0.31
8.4,2.4,36.69,0.05,0.31
8.5,2.4,36.57,0.05,0.31
8.6,2.4,36.49,0.05,0.31
8.7,2.4,36.42,0.05,0.31
8.8,2.4,36.38,0.05,0.31
8.9,2.4,36.36,0.05,0.31
9,2.4,36.38,0.05,0.31
9.1,2.4,36.45,0.05,0.31
9.2,2.4,36.6,0.05,0.31
9.3,2.4,36.85,0.06,0.31
9.4,2.4,37.2,0.07,0.31
9.5,2.4,37.6,0.08,0.31
9.6,2.4,37.95,0.12,0.31
9.7,2.4,38.18,0.17,0.31
9.8,2.4,38.27,0.25,0.31
9.9,2.4,38.25,0.35,0.31
10,2.4,38.16,0.45,0.31
10.1,2.4,38.04,0.5,0.31
10.2,2.4,37.91,0.48,0.31
10.3,2.4,37.77,0.39,0.31
10.4,2.4,37.63,0.29,0.31
10.5,2.4,37.49,0.21,0.31
10.6,2.4,37.36,0.15,0.31
10.7,2.4,37.24,0.11,0.31
10.8,2.4,37.12,0.09,0.31
8.2,2.5,37.03,0.05,0.31
8.3,2.5,36.84,0.05,0.31
8.4,2.5,36.69,0.05,0.31
8.5,2.5,36.58,0.05,0.31
8.6,2.5,36.49,0.05,0.31
8.7,2.5,36.43,0.05,0.31
8.8,2.5,36.39,0.05,0.31
8.9,2.5,36.37,0.05,0.31
9,2.5,36.39,0.05,0.31
9.1,2.5,36.46,0.05,0.31
9.2,2.5,36.61,0.05,0.31
9.3,2.5,36.86,0.06,0.31
9.4,2.5,37.21,0.07,0.31
9.5,2.5,37.61,0.09,0.31
9.6,2.5,37.97,0.12,0.31
9.7,2.5,38.2,0.17,0.31
9.8,2.5,38.28,0.25,0.31
9.9,2.5,38.26,0.36,0.31
10,2.5,38.17,0.45,0.31
10.1,2.5,38.05,0.5,0.31
10.2,2.5,37.91,0.47,0.31
10.3,2.5,37.77,0.39,0.31
10.4,2.5,37.64,0.29,0.31
10.5,2.5,37.5,0.21,0.31
10.6,2.5,37.37,0.15,0.31
10.7,2.5,37.24,0.11,0.31
10.8,2.5,37.12,0.09,0.31
8.2,2.6,37.03,0.05,0.31
8.3,2.6,36.85,0.05,0.31
8.4,2.6,36.7,0.05,0.31
8.5,2.6,36.58,0.05,0.31
8.6,2.6,36.5,0.05,0.31
8.7,2.6,36.43,0.05,0.31
8.8,2.6,36.39,0.05,0.31
8.9,2.6,36.38,0.05,0.31
9,2.6,36.39,0.05,0.31
9.1,2.6,36.47,0.05,0.31
9.2,2.6,36.62,0.05,0.31
